Yr,Mo,Date,Product,RequestorTeams,ActivityHead,GLHead,PRType,TotalAmount,RequestCount
2017,6,2017-06-01,Actiflor,GLADIATORS,Gifts & Souviners (W/O Doctor),Giveaways - S&D,Marketing,371250.0,2
2017,6,2017-06-01,Aireez,GLADIATORS,Folders,Folders - S&D,Marketing,142500.0,1
2017,6,2017-06-01,Avsar Plus,"LEGENDS,CHALLENGERS,BRAVO",Equipments (With Doctor),Equipments - S&D,Marketing,155807.0,7
2017,6,2017-06-01,BD (CLAIMABLE),"OMRON HEALTH CARE,EVOCHECK (TEAM),ARCHERS",Others,Others - S&D,Marketing,53000.0,1
2017,6,2017-06-01,Cambodia,INTERNATIONAL MARKETS,Equipments (W/O Doctor),Equipments - S&D,Marketing,430000.0,2
2017,6,2017-06-01,Corporate Account Ad Pro,CHAMPIONS,A&P LEADERSHIP DEVELOPMENT TRAININGS TO DOCTORS,A&P Leadership Development Trainings To Doctors,Marketing,7700.0,1
2017,6,2017-06-01,Corporate Account Ad Pro,CHAMPIONS,Manual / Literatures / Photo Copies,Manual / Literatures / Photo Copies - S&D,Marketing,22750.0,1
2017,6,2017-06-01,Corporate Account Ad Pro,METABOLIZERS,Annual Conference,Annual Conference,Marketing,5200000.0,2
2017,6,2017-06-01,Corporate Account Ad Pro,WINNERS,Annual Conference,Annual Conference,Marketing,3311000.0,1
2017,6,2017-06-01,Evofix Cap,GLADIATORS,Folders,Folders - S&D,Marketing,37500.0,1
2017,6,2017-06-01,Evofix Susp,GLADIATORS,Folders,Folders - S&D,Marketing,548500.0,4
2017,6,2017-06-01,Evofix Susp,GLADIATORS,Others,Others - S&D,Marketing,208800.0,5
2017,6,2017-06-01,Evopride Plus,LEGENDS,Equipments (With Doctor),Equipments - S&D,Marketing,245000.0,1
2017,6,2017-06-01,Fasteso,GLADIATORS,Folders,Folders - S&D,Marketing,37500.0,1
2017,6,2017-06-01,Ferfer,GLADIATORS,Folders,Folders - S&D,Marketing,37500.0,1
2017,6,2017-06-01,Galvecta,"LEGENDS,CHALLENGERS,BRAVO",Doctors Printing,Prescription Pads - S&D,Marketing,90300.0,6
2017,6,2017-06-01,Galvecta,"LEGENDS,CHALLENGERS,BRAVO",Equipments (With Doctor),Equipments - S&D,Marketing,79000.0,3
2017,6,2017-06-01,Galvecta,METABOLIZERS,Equipments (With Doctor),Equipments - S&D,Marketing,23000.0,3
2017,6,2017-06-01,International Markets,INTERNATIONAL MARKETS,Social / Cultural (W/O Doctor),Social / Cultural / Educational Program  - S&D,Marketing,4750.0,1
2017,6,2017-06-01,Kenya,CHAMPIONS,Seminar (W/O Doctor),Seminars / Symposium / Video Shows - S&D,Marketing,226000.0,2
2017,6,2017-06-01,Lowplat,CHAMPIONS,Folders,Folders - S&D,Marketing,36500.0,2
2017,6,2017-06-01,Lowplat Plus,"LEGENDS,CHALLENGERS,BRAVO",Equipments (With Doctor),Equipments - S&D,Marketing,76807.0,4
2017,6,2017-06-01,Myopro,WINNERS,Folders,Folders - S&D,Marketing,5000.0,2
2017,6,2017-06-01,Myopro,WINNERS,Renovation Ward (With Doctor),Renovation Wards - S&D,Marketing,19577.0,1
2017,6,2017-06-01,Neo-Q 100,GLADIATORS,"Furniture,  Fixtures & Fittings",Renovation Wards - S&D,Marketing,36000.0,1
2017,6,2017-06-01,Neo-Q 100,WARRIORS,Folders,Folders - S&D,Marketing,66500.0,1
2017,6,2017-06-01,Phytus,GLADIATORS,Folders,Folders - S&D,Marketing,142500.0,1
2017,6,2017-06-01,Phytus,GLADIATORS,Gifts & Souviners (W/O Doctor),Giveaways - S&D,Marketing,401250.0,2
2017,6,2017-06-01,Supercran,GLADIATORS,Folders,Folders - S&D,Marketing,37500.0,1
2017,6,2017-06-01,Telsarta,LEGENDS,Equipments (With Doctor),Equipments - S&D,Marketing,245000.0,1
2017,6,2017-06-01,Telsarta,LEGENDS,Others,Others - S&D,Marketing,430000.0,5
2017,6,2017-06-01,Xplended 20,CHAMPIONS,Folders,Folders - S&D,Marketing,36500.0,2
2017,6,2017-06-01,Zoltar,"OMRON HEALTH CARE,BD SYRINGE (TEAM)",Renovation Ward (With Doctor),Renovation Wards - S&D,Marketing,10000.0,1
2017,6,2017-06-01,Zoval,BONE SAVIORS,Doctors Printing,Prescription Pads - S&D,Marketing,28000.0,1
2017,6,2017-06-01,Zoval,"INSTITUTIONAL,ONCOLOGY,Strikers",Equipments (With Doctor),Equipments - S&D,Marketing,165000.0,1
