Product,FY,PeriodNumber,Yr,Mo,AllocatedAmount,SpentAmount
,2025-2026,1,2025,7,2364381849.27,0.0
,2025-2026,1,2025,7,20000000.0,0.0
Acobmin,2025-2026,1,2025,7,0.0,0.0
Actiflor,2025-2026,1,2025,7,679275.41,280721.0
ACTNISE,2025-2026,1,2025,7,1542144.63,0.0
AD-D,2025-2026,1,2025,7,1106665.24,199331.0
Adfolic,2025-2026,1,2025,7,4852181.72,2110633.0
Adfolic OD,2025-2026,1,2025,7,0.0,0.0
Afghanistan,2025-2026,1,2025,7,0.0,0.0
Africa,2025-2026,1,2025,7,0.0,0.0
AGOVIZ,2025-2026,1,2025,7,592225.58,528470.0
AirCare,2025-2026,1,2025,7,117369.94,0.0
Aireez,2025-2026,1,2025,7,5856453.72,7173780.0
Aireez 5/10,2025-2026,1,2025,7,0.0,0.0
Algesia,2025-2026,1,2025,7,0.0,0.0
ALPHA,2025-2026,1,2025,7,3453247.0,0.0
Anex M,2025-2026,1,2025,7,175299.15,0.0
ANPLAG,2025-2026,1,2025,7,11196180.38,2892635.0
Arbi,2025-2026,1,2025,7,1730899.43,95207.0
Arbi A,2025-2026,1,2025,7,706888.77,0.0
ARCHERS,2025-2026,1,2025,7,523219.0,0.0
Avsar,2025-2026,1,2025,7,50555629.95,44449140.0
Avsar Plus,2025-2026,1,2025,7,17673894.06,30184657.0
Axifer,2025-2026,1,2025,7,0.0,0.0
Azerbaijan,2025-2026,1,2025,7,0.0,0.0
Azliv,2025-2026,1,2025,7,0.0,0.0
Azobact,2025-2026,1,2025,7,0.0,0.0
BD (CLAIMABLE),2025-2026,1,2025,7,0.0,0.0
BD (UN-CLAIMABLE),2025-2026,1,2025,7,0.0,0.0
BEMPION EZ,2025-2026,1,2025,7,923919.0,2648328.0
Bevec,2025-2026,1,2025,7,1000000.0,0.0
Bolivia,2025-2026,1,2025,7,0.0,0.0
BONE SAVIORs,2025-2026,1,2025,7,3610212.0,0.0
Bonedol,2025-2026,1,2025,7,0.0,0.0
BRAVO,2025-2026,1,2025,7,3374764.0,200000.0
Busonide,2025-2026,1,2025,7,4087511.44,7281021.0
BYVAS,2025-2026,1,2025,7,11991073.24,22431730.0
Cambodia,2025-2026,1,2025,7,0.0,0.0
CELIA (Claimable),2025-2026,1,2025,7,0.0,0.0
Celia (Un-Claimable),2025-2026,1,2025,7,0.0,0.0
CHALLENGERS,2025-2026,1,2025,7,3845661.0,0.0
CHAMPIONS,2025-2026,1,2025,7,2773062.0,0.0
Cipromax,2025-2026,1,2025,7,0.0,0.0
Clearlax,2025-2026,1,2025,7,0.0,0.0
CONQUEROR,2025-2026,1,2025,7,0.0,0.0
Corporate Account Ad Pro,2025-2026,1,2025,7,480350680.0,126849.0
Dapwiz,2025-2026,1,2025,7,3460967.93,4191077.0
Dapwiz Plus XR,2025-2026,1,2025,7,2510171.19,2711358.0
Dipof,2025-2026,1,2025,7,170636.71,82353.0
Duzalta,2025-2026,1,2025,7,2193342.25,2377124.0
ECOMMERCE,2025-2026,1,2025,7,0.0,0.0
Eglaro Family,2025-2026,1,2025,7,2475518.14,1324581.0
ELITE,2025-2026,1,2025,7,3191637.0,0.0
ERLI,2025-2026,1,2025,7,7633724.69,15082476.0
Erli Plus,2025-2026,1,2025,7,8800816.93,4714183.0
Erli Plus XR,2025-2026,1,2025,7,0.0,261250.0
Erlina,2025-2026,1,2025,7,9449033.55,5917132.0
Erlina Plus XR,2025-2026,1,2025,7,4416497.84,4234449.0
Erlina Plus XR M,2025-2026,1,2025,7,0.0,15000.0
Erlina Plus XR W,2025-2026,1,2025,7,0.0,47200.0
Esmart,2025-2026,1,2025,7,0.0,0.0
Estar,2025-2026,1,2025,7,11796363.93,8343355.0
Estar 5,2025-2026,1,2025,7,16891371.27,7432627.0
EVOCHECK (TEAM),2025-2026,1,2025,7,706346.0,0.0
Evocheck BGM,2025-2026,1,2025,7,3399523.19,801277.0
Evocheck BPM,2025-2026,1,2025,7,0.0,0.0
Evocheck GO,2025-2026,1,2025,7,5526513.33,853216.0
Evocheck LinX CGM,2025-2026,1,2025,7,0.0,64564.0
Evocheck Weigh Scale,2025-2026,1,2025,7,2198666.67,160980.0
Evofix,2025-2026,1,2025,7,0.0,0.0
Evofix Cap,2025-2026,1,2025,7,2470933.75,1352637.0
EvoJoshanda,2025-2026,1,2025,7,0.0,0.0
Evokalm,2025-2026,1,2025,7,3562829.26,3799369.0
EvoPravir,2025-2026,1,2025,7,0.0,0.0
Evopride,2025-2026,1,2025,7,2247956.3,1020270.0
Evopride Plus,2025-2026,1,2025,7,2887736.18,655082.0
Evorox,2025-2026,1,2025,7,0.0,0.0
Evotaxim,2025-2026,1,2025,7,0.0,0.0
Factory,2025-2026,1,2025,7,0.0,0.0
Falcons,2025-2026,1,2025,7,0.0,0.0
Fasteso,2025-2026,1,2025,7,368647.52,222746.0
FEMOVA,2025-2026,1,2025,7,4088920.98,1887938.0
Ferfer,2025-2026,1,2025,7,7364197.07,2550437.0
Ferfer Gro,2025-2026,1,2025,7,0.0,0.0
Ferfer SF,2025-2026,1,2025,7,0.0,0.0
FinnoQ,2025-2026,1,2025,7,1096573.3,79823.0
Fluticasone,2025-2026,1,2025,7,0.0,0.0
ForFlu,2025-2026,1,2025,7,0.0,0.0
FORMIS,2025-2026,1,2025,7,0.0,0.0
Forsonide,2025-2026,1,2025,7,0.0,0.0
Galvecta,2025-2026,1,2025,7,2100196.56,613264.0
Galvecta Plus 500,2025-2026,1,2025,7,0.0,31000.0
GLADIATORS,2025-2026,1,2025,7,3086993.0,0.0
Glynum,2025-2026,1,2025,7,0.0,0.0
Gouric,2025-2026,1,2025,7,11416162.33,3852963.0
Gouric 80,2025-2026,1,2025,7,2937187.76,917669.0
Guatemala,2025-2026,1,2025,7,0.0,0.0
Hifazat,2025-2026,1,2025,7,0.0,0.0
Histalis,2025-2026,1,2025,7,1496250.11,1233502.0
Hongkong,2025-2026,1,2025,7,0.0,0.0
Ibandro,2025-2026,1,2025,7,0.0,0.0
INDALO,2025-2026,1,2025,7,0.0,0.0
INDALO-M,2025-2026,1,2025,7,0.0,0.0
Innogen,2025-2026,1,2025,7,0.0,0.0
Inosita,2025-2026,1,2025,7,6735518.17,2072660.0
Inosita Plus,2025-2026,1,2025,7,36133445.86,23284272.0
Inosita Plus 50/850,2025-2026,1,2025,7,0.0,0.0
INOSITA PLUS XR,2025-2026,1,2025,7,14790994.39,7515263.0
INSTITUTIONAL,2025-2026,1,2025,7,0.0,0.0
Institutional Ad Pro,2025-2026,1,2025,7,6343057.88,167115.0
International Markets,2025-2026,1,2025,7,0.0,70000.0
Ipramide Plus,2025-2026,1,2025,7,0.0,0.0
IPRAZYME,2025-2026,1,2025,7,0.0,0.0
IPRAZYME-S,2025-2026,1,2025,7,0.0,0.0
Iraq,2025-2026,1,2025,7,0.0,0.0
IRT,2025-2026,1,2025,7,3692.31,0.0
Itipso,2025-2026,1,2025,7,602080.77,30000.0
IVADIN,2025-2026,1,2025,7,0.0,0.0
Ivory Coast,2025-2026,1,2025,7,0.0,0.0
K1000,2025-2026,1,2025,7,5196608.69,4419632.0
K1000 Plus Sachet,2025-2026,1,2025,7,633347.35,0.0
Kalsob,2025-2026,1,2025,7,9275459.6,4049561.0
Kalsob Plus,2025-2026,1,2025,7,0.0,0.0
kazakhstan,2025-2026,1,2025,7,0.0,0.0
Kenya,2025-2026,1,2025,7,0.0,0.0
Klevra,2025-2026,1,2025,7,1511466.76,931589.0
Klevra Sol,2025-2026,1,2025,7,0.0,0.0
Kosovo,2025-2026,1,2025,7,0.0,0.0
Lacteus,2025-2026,1,2025,7,0.0,0.0
Lacteus Digest,2025-2026,1,2025,7,0.0,0.0
Lacteus Mama,2025-2026,1,2025,7,0.0,0.0
LEGENDS,2025-2026,1,2025,7,3584052.0,0.0
Lowplat,2025-2026,1,2025,7,8720001.81,3969499.0
Lowplat Plus,2025-2026,1,2025,7,11949178.3,17925900.0
Malaysia,2025-2026,1,2025,7,0.0,0.0
Maldives,2025-2026,1,2025,7,0.0,0.0
Marketing,2025-2026,1,2025,7,0.0,0.0
MAVERICKS,2025-2026,1,2025,7,3086993.0,12000.0
Memura XR,2025-2026,1,2025,7,0.0,0.0
METABOLIZERs,2025-2026,1,2025,7,3688695.0,0.0
MFIT,2025-2026,1,2025,7,0.0,0.0
MilkSip,2025-2026,1,2025,7,0.0,0.0
MOBILE BGM,2025-2026,1,2025,7,0.0,0.0
Mokzia,2025-2026,1,2025,7,0.0,0.0
MOMIST,2025-2026,1,2025,7,0.0,0.0
Myanmar,2025-2026,1,2025,7,0.0,0.0
NAVIGATORS,2025-2026,1,2025,7,3191637.0,0.0
Neo-Q 100,2025-2026,1,2025,7,565667.8,15000.0
Nigeria,2025-2026,1,2025,7,0.0,0.0
Nise,2025-2026,1,2025,7,21576474.97,10981836.0
OMRON (CLAIMABLE),2025-2026,1,2025,7,3394453.75,0.0
OMRON HEALTH CARE,2025-2026,1,2025,7,837151.0,313725.0
ONCOLOGY,2025-2026,1,2025,7,183127.0,0.0
Onita,2025-2026,1,2025,7,1550487.14,1334212.0
Opt-D,2025-2026,1,2025,7,13551017.31,13703553.0
OPT-D Drops,2025-2026,1,2025,7,0.0,0.0
OPT-D INJ,2025-2026,1,2025,7,0.0,0.0
Orslim,2025-2026,1,2025,7,15545354.76,3492293.0
Owad,2025-2026,1,2025,7,0.0,0.0
Oxivort,2025-2026,1,2025,7,0.0,0.0
PAIN GEAR,2025-2026,1,2025,7,0.0,0.0
PARIDOPA,2025-2026,1,2025,7,1329563.75,274805.0
Paridopa Ext,2025-2026,1,2025,7,0.0,0.0
PAZOMEZ,2025-2026,1,2025,7,28466474.0,343236.0
Philippine,2025-2026,1,2025,7,0.0,0.0
Phytus,2025-2026,1,2025,7,33858.37,0.0
POM,2025-2026,1,2025,7,7200.0,0.0
Ramipace,2025-2026,1,2025,7,4635026.37,1194028.0
Redexa,2025-2026,1,2025,7,446009.02,462778.0
REKLAIM,2025-2026,1,2025,7,0.0,0.0
Retzole,2025-2026,1,2025,7,2513509.0,2154721.0
Revolic,2025-2026,1,2025,7,740978.24,98000.0
