RequestTransferBudgetId,FromProduct,FromProductId,FromGLHead,ToProduct,ToProductId,ToGLHead,Amount,Remarks,StatusId,CreatedDate,Yr,Mo
10059,Evopride Plus,13.0,Renovation Wards - S&D,Evopride Plus,13.0,Equipments - S&D,300000.0,,1,2026-04-28 10:51:42.260,2026,4
10058,,,Battery Operated Trolley for Raw Material WH,,,S.s Cross over bench For Nutra WH,50300.0,"No required in this year, therefore transferring the budget from battery operated trolley to ss cross over bench",1,2026-04-28 09:54:32.663,2026,4
10057,Evopride,12.0,Prescription Pads - S&D,Evopride,12.0,Social / Cultural / Educational Program  - S&D,500000.0,,1,2026-04-27 10:34:44.203,2026,4
10056,Retzole,152.0,Social / Cultural / Educational Program  - S&D,Retzole,152.0,Seminars / Symposium / Video Shows - S&D,245000.0,,1,2026-04-27 10:16:55.277,2026,4
10055,Retzole,152.0,Social / Cultural / Educational Program  - S&D,Retzole,152.0,Seminars / Symposium / Video Shows - S&D,10000.0,,1,2026-04-27 10:16:11.980,2026,4
10054,,,SAP Hardware (Tape Drive/UPS/Data Center Maintenance),,,Network Equipments (Cables / Patch Codes/ Switches/ WIFI Routers),300000.0,The budget is currently not available under the Network Budget Head. Kindly arrange to transfer the required budget to the SAP Hardware Head at your earliest convenience.,1,2026-04-27 10:10:43.913,2026,4
10053,Kalsob,49.0,Giveaways - S&D,Kalsob,49.0,Social / Cultural / Educational Program  - S&D,448345.0,,1,2026-04-24 15:32:41.523,2026,4
10052,Treatan,37.0,Prescription Pads - S&D,Treatan,37.0,Social / Cultural / Educational Program  - S&D,700000.0,,1,2026-04-24 15:02:16.760,2026,4
10051,Inosita Plus,142.0,Seminars / Symposium / Video Shows - S&D,Inosita Plus,142.0,Screening - S&D,1582000.0,,1,2026-04-24 14:56:41.610,2026,4
10050,PARIDOPA,115.0,Books / Journals / Magazines - S&D,PARIDOPA,115.0,Seminars / Symposium / Video Shows - S&D,500000.0,,1,2026-04-24 13:19:25.490,2026,4
10049,Inosita Plus,142.0,Equipments - S&D,Inosita Plus,142.0,Social / Cultural / Educational Program  - S&D,4000000.0,,1,2026-04-24 12:28:24.223,2026,4
10048,Retzole,152.0,Social / Cultural / Educational Program  - S&D,Retzole,152.0,Equipments - S&D,200000.0,,1,2026-04-24 10:15:21.130,2026,4
10047,Treatan,37.0,Screening - S&D,Treatan,37.0,Social / Cultural / Educational Program  - S&D,1000000.0,,1,2026-04-23 19:32:14.653,2026,4
10046,Evopride Plus,13.0,Social / Cultural / Educational Program  - S&D,Evopride Plus,13.0,Screening - S&D,639670.0,,1,2026-04-23 17:47:47.867,2026,4
