RequestId,MasterId,Description,BillCount,RequestedAmount,SMApprovedAmount,RTLApprovedAmount,BMApprovedAmount,MMApprovedAmount,SFEApprovedAmount,ProductName,TeamName,ExpenseDate,CreatedDate,RequestMonth,RequestorCadre,StatusId,Yr,Mo
56,11,Team Dinner at Lahore for PDA refresher,1,2198.0,2198.0,2198.0,2198.0,,2198.0,,Strikers (R),2026-01-04,2026-02-13 14:05:20.113,2026-02-01,AM,1,2026,1
57,11,Pizza Refreshment given to Dr Hafeez Ud DIn in HBS Hospital,1,2790.0,2790.0,2790.0,2790.0,,2790.0,VANZAK,,2026-01-08,2026-02-13 14:05:20.177,2026-02-01,AM,1,2026,1
87,18,MEDICAL/SURGICAL EQUIPMENTS TO   ,1,4900.0,4900.0,4900.0,4900.0,,4900.0,Opt-D,,2026-02-10,2026-02-20 15:44:46.980,2026-02-01,AM,1,2026,2
98,21,DOCTOR&#39;S PRINTING TO   ,1,4000.0,4000.0,4000.0,4000.0,,4000.0,BYVAS,,2026-02-06,2026-02-22 12:57:46.397,2026-02-01,AM,1,2026,2
106,23,Gift to ,1,2340.0,2340.0,2340.0,2340.0,,2340.0,Telsarta-A,,2026-02-18,2026-02-22 16:38:29.207,2026-02-01,AM,1,2026,2
107,23,INTERNET TO   ,1,2620.0,2620.0,2620.0,2620.0,,2620.0,Erlina Plus XR,,2026-02-18,2026-02-22 16:38:29.253,2026-02-01,AM,1,2026,2
140,24,Camps/Screening,1,2021.0,2021.0,2021.0,2021.0,,2021.0,Inosita Plus 50/850,,2026-02-12,2026-02-22 21:22:17.763,2026-02-01,AM,1,2026,2
141,24,Camps/Screening,1,2258.0,2258.0,2258.0,2258.0,,2258.0,Inosita Plus,,2026-02-12,2026-02-22 21:22:17.827,2026-02-01,AM,1,2026,2
142,24,Camps/Screening,1,550.0,550.0,550.0,550.0,,550.0,Inosita Plus,,2026-02-12,2026-02-22 21:22:17.873,2026-02-01,AM,1,2026,2
147,27,Weekly Meeting with MSO,1,1280.0,1280.0,1280.0,1280.0,,1280.0,,THUNDERS,2026-02-17,2026-02-23 14:40:18.460,2026-02-01,AM,1,2026,2
148,27,Opd Camp Refreshment,1,820.0,820.0,820.0,820.0,,820.0,"Aireez,Tiocap,Busonide",,2026-02-03,2026-02-23 14:40:18.507,2026-02-01,AM,1,2026,2
149,27,Opd Camp Refreshment,1,1690.0,1690.0,1690.0,1690.0,,1690.0,"Aireez,Tiocap,Busonide",,2026-01-20,2026-02-23 14:40:18.553,2026-02-01,AM,1,2026,1
150,27,Opd Camp Refreshment,1,1210.0,1210.0,1210.0,1210.0,,1210.0,"Aireez,Tiocap,Busonide",,2026-02-18,2026-02-23 14:40:18.617,2026-02-01,AM,1,2026,2
151,27,Fuel Slips,9,24756.0,24756.0,24756.0,24756.0,,24756.0,,,2026-02-01,2026-02-23 14:40:18.663,2026-02-01,AM,1,2026,2
155,29,Camps/Screening & OPD sitting with Dr Shamsher Mardan,1,740.0,740.0,740.0,740.0,,740.0,"Telsarta-A,Eglaro Family",,2026-02-09,2026-02-23 16:54:00.210,2026-02-01,AM,1,2026,2
156,29,Camps/Screening,1,1050.0,1050.0,1050.0,1050.0,,1050.0,"Telsarta-A,Erlina Plus XR",,2026-02-11,2026-02-23 16:54:00.273,2026-02-01,AM,1,2026,2
157,29,Camps/Screening & OPD sitting with Dr Ghullam  Rasool Rahmo,1,500.0,500.0,500.0,500.0,,500.0,"Telsarta-A,Erlina Plus XR",,2026-02-13,2026-02-23 16:54:00.320,2026-02-01,AM,1,2026,2
158,29,Camps/Screening & OPD sitting in hospital UK,1,500.0,500.0,500.0,500.0,,500.0,"Telsarta,Telsarta-A,Eglaro Family,Erlina Plus XR",,2026-02-02,2026-02-23 16:54:00.367,2026-02-01,AM,1,2026,2
159,29,Camps/Screening ,1,800.0,800.0,800.0,800.0,,800.0,"Telsarta-A,Erlina Plus XR",,2026-02-06,2026-02-23 16:54:00.430,2026-02-01,AM,1,2026,2
160,29,Camps/Screening & OPD sitting in Cardio OPD ,1,770.0,770.0,770.0,770.0,,770.0,"Telsarta,Telsarta-A,Erlina Plus XR",,2026-02-02,2026-02-23 16:54:00.477,2026-02-01,AM,1,2026,2
161,29,Camps/Screening & OPD sitting in Medician OPD with Dr Sikander Rahu  PMC NAwabshah,1,600.0,600.0,600.0,600.0,,600.0,"Telsarta-A,Eglaro Family",,2026-02-02,2026-02-23 16:54:00.523,2026-02-01,AM,1,2026,2
163,32,Camps/Screening,1,4570.0,4570.0,4570.0,4570.0,,4570.0,Opt-D,,2026-01-31,2026-02-23 21:23:53.153,2026-02-01,AM,1,2026,1
164,32,Camps/Screening,1,430.0,430.0,430.0,430.0,,430.0,Opt-D,,2026-02-06,2026-02-23 21:23:53.200,2026-02-01,AM,1,2026,2
