ActivityHead,TotalSpend,TotalRev,ROI
CME (With Doctor),36900.0,157536013.5275,4269.268659281843
Gifts & Souviners To Doctors (With Doctor),147233.0,262111481.4749,1780.249546466485
Workshops (With Doctor),3825.0,6262874.914,1637.3529186928104
Repairing Of Equipment,93000.0,134744005.8725,1448.8602781989248
Presentations (W/O Doctor),1283088.99,1129351944.4215999,880.1820865297892
RTD (With Doctor),293017.0,235364008.88750002,803.2435281485375
Books (With Doctor),3663189.0,2913478783.8222003,795.3394661924898
Ads. In Journals / Magazines,227541.05,172853144.41300002,759.6569692062159
Paper Rolls For Ecg & Spirometer,460000.0,325378751.46349996,707.3451118771738
Camps (W/O Doctor),403705.5,257256870.65539998,637.2389542758273
Presentations (With Doctor),25000.0,12212154.8711,488.48619484399995
Workshops (W/O Doctor),2519567.75,1027772673.4309001,407.91626795147704
CME (W/O Doctor),904700.8,328851560.6395,363.49206349712523
Ups/Generator (With Doctor),1264209.0,422101514.72179997,333.88586437986123
Course Fee For Doctors,17540404.66,5442328952.4919,310.27385388108263
Screening (With Doctor),5753427.3,1701075069.8689,295.66291206441423
Book (W/O Doctor),9135954.98,2395082864.7660003,262.16009930097096
Seminar (With Doctor),2845428.0,639292343.0804,224.67352647137795
Renovation Ward  (W/O Doctor),2875025.65,645481772.8853,224.5133962144999
"Furniture,  Fixtures & Fittings",51060973.06,11013356651.383501,215.69030105325416
Social / Cultural (With Doctor),18278994.7,3921349867.2895,214.52765492018554
Ads. For Doctor,63800.0,13601654.966,213.19208410658308
Conference (With Doctor),1911894.0,374958197.03499997,196.11871632789263
RTD (W/O Doctor),3024953.0,565348729.5585,186.89504582666245
Equipment Medical & Other (W/O Doctor),8260744.5,1464748572.6738,177.31435376966326
Seminar (W/O Doctor),22189737.8,3738660116.1981,168.48599789214725
Manual / Literatures / Photo Copies,12938397.7,2017646377.6909,155.94252275078082
Equipment Medical & Other (With Doctor),87645915.91,13536794175.483301,154.44865895843546
CSR,4641325.0,706399837.1648,152.19788253673252
Conference (W/O Doctor),22976059.0,3459850678.1687,150.5850362835811
Others,23067784.96,3373350830.2612,146.2364434257844
Folders,36845669.62,4778111945.2281,129.67906390374077
Renovation Ward (With Doctor),46988599.26,6033154315.8736,128.39613035686818
Equipments (W/O Doctor),8636448.52,1088640446.7714,126.0518654456589
Screening (W/O Doctor),14788431.65,1609619595.2877,108.8431575019451
PDA Refreshers - S&D,1264610.0,118156915.89719999,93.43348217806279
Gifts & Souviners (W/O Doctor),52661502.18,4346736453.03313,82.54106459355714
Kind Incentives,2230170.5,178190304.49650002,79.89985720665753
Doctors Printing,220017198.85,16808663788.60899,76.39704476043505
Ward Support Program (with Doctor),1400000.0,100918342.6446,72.08453046042857
DM Marketing Expenses,104930062.14,7248639352.02643,69.08067339515281
Advertisments (With Doctor),3004536.0,202047226.5799,67.24739746167128
Advertisment (W/O Doctor),5841633.0,356199148.3651,60.975954560154676
Equipments (With Doctor),287504831.34,17001025077.43906,59.13300655923183
Launching,8874482.280000001,448727102.9676,50.56374995292683
Social / Cultural (W/O Doctor),350105403.34,13971888228.4437,39.90766236439686
Annual Conference,387768.0,13723395.248,35.39073685296363
A&P Discovering Diabetes,250000.0,1745949.249,6.983796996000001
