SDP Name,Rev2024,Rev2025,Products,Churned,ChurnProb,RiskLevel
KHAN SEHAT LTD - AFG,1986112.0,824879.0,81,0,0.0,🟢 Low
ITMG SEA CO. LTD,2010.0,7519.0,12,0,0.0,🟢 Low
AHMAD SAEED MEDICINE DISTRIBUTORS,0.0,42481800.0,165,0,0.0,🟢 Low
AHMED BIN QASIM,4150390.0,3064641.0,31,0,0.0,🟢 Low
AL-ABBAS DISTRIBUTORS,27779739.0,34825014.0,126,0,0.01,🟢 Low
AL-FATEH MEDICINE COMPANY,93214539.0,47595157.0,206,0,0.0,🟢 Low
ALI HAJVERY PHARMA,91923928.0,98216296.0,193,0,0.0,🟢 Low
ALLONS ENTERPRISES,0.0,315684.0,20,0,0.0,🟢 Low
ATIF DISTRIBUTOR,106862049.0,132782008.0,212,0,0.0,🟢 Low
"Allied Hospital, Faisalabad",0.0,302856.0,3,0,0.0,🟢 Low
BAHRIA PHARMACY,454138.0,122320.0,6,0,0.01,🟢 Low
CRYSTAL AGENCIES,27926870.0,28505912.0,164,0,0.0,🟢 Low
FAISAL PHARMA,921379.0,228526.0,38,0,0.0,🟢 Low
FAUJI FOUNDATION HOSP. LAHORE,0.0,475479.0,8,0,0.006666666666666666,🟢 Low
FAUJI FOUNDATION HOSP. RAWALPINDI,0.0,1589012.0,23,0,0.0,🟢 Low
FRIENDS ENTERPRISES - AJK,10953807.0,7824262.0,82,0,0.0,🟢 Low
GOVT GEN HOSP (FSD TEACHING HOSP),0.0,0.0,3,0,0.026234036122011136,🟢 Low
HEALTH CARE ENTERPRISES,6809405.0,5214235.0,59,0,0.01,🟢 Low
HEALTHLINK ENTERPRISES,6474804.0,15680282.0,166,0,0.02,🟢 Low
INACTIVE - NUSRAT PHARMA,23708909.0,0.0,159,1,0.89,🔴 High
INACTIVE - TAURAS MEDICAL COMPANY,2201070.0,0.0,127,1,0.78,🔴 High
JAMIL TRADERS,4549990.0,6228103.0,91,0,0.02,🟢 Low
JINDANI TRADERS,3706118.0,3149832.0,89,0,0.0,🟢 Low
KARACHI MEDICAL COMPANY,78100.0,0.0,6,1,0.94,🔴 High
LIFE LINE DISTRIBUTORS,52535925.0,59891368.0,179,0,0.0,🟢 Low
M. ABDULLAH ENTERPRISES,69872919.0,72236352.0,202,0,0.0,🟢 Low
MAX ENTERPRISES,8760151.0,7918019.0,76,0,0.0,🟢 Low
MED N TECH PHARMA,922685.0,1743795.0,22,0,0.0,🟢 Low
MEDI AIM PHARMA,14600047.0,12332158.0,114,0,0.0,🟢 Low
MEDICATE  INTERNATIONAL,10591749.0,10719983.0,84,0,0.0,🟢 Low
NEW TAMEER ENTERPRISES,2185019.0,1839473.0,81,0,0.01,🟢 Low
NOOR MEDICINE COMPANY,33018563.0,42249038.0,165,0,0.0,🟢 Low
NUSRAT PHARMA - KOTLI,77098890.0,124074540.0,210,0,0.0,🟢 Low
ONCOCARE PHARMACY,15321577.0,16680455.0,110,0,0.0,🟢 Low
ONE TIME BUYER,9043023.0,11181483.0,228,0,0.0,🟢 Low
ORAH LIFE (PVT) LTD.,3576095.0,286057.0,204,0,0.03,🟢 Low
PREMIER AGENCIES - KORANGI,0.0,4568559.0,213,0,0.0,🟢 Low
PREMIER SALES PVT LTD-ABBOTTABAD,102567224.0,130072481.0,218,0,0.0,🟢 Low
PREMIER SALES PVT LTD-ATTOCK,69013080.0,93361544.0,200,0,0.0,🟢 Low
PREMIER SALES PVT LTD-BADIN,22333773.0,33363583.0,175,0,0.05,🟢 Low
PREMIER SALES PVT LTD-BAHAWALNAGAR,66733497.0,87407765.0,211,0,0.0,🟢 Low
PREMIER SALES PVT LTD-BAHAWALPUR,99730240.0,142478435.0,222,0,0.0,🟢 Low
PREMIER SALES PVT LTD-BANNU,141654892.0,197489183.0,210,0,0.0,🟢 Low
PREMIER SALES PVT LTD-BUREWALA,0.0,65939761.0,203,0,0.0,🟢 Low
PREMIER SALES PVT LTD-CHAKWAL,66486649.0,87851628.0,213,0,0.0,🟢 Low
PREMIER SALES PVT LTD-D.G.KHAN,119935542.0,148922272.0,218,0,0.0,🟢 Low
PREMIER SALES PVT LTD-D.I.KHAN,94709763.0,118268453.0,205,0,0.0,🟢 Low
PREMIER SALES PVT LTD-DADU,57348360.0,84048297.0,196,0,0.0,🟢 Low
PREMIER SALES PVT LTD-FAISALABAD,200866756.0,240579386.0,227,0,0.0,🟢 Low
PREMIER SALES PVT LTD-FATEH GARH-LH,128815811.0,171897039.0,214,0,0.0,🟢 Low
PREMIER SALES PVT LTD-FB AREA,216557003.0,280784800.0,231,0,0.0,🟢 Low
PREMIER SALES PVT LTD-GHOTKI,57100648.0,88111095.0,198,0,0.0,🟢 Low
PREMIER SALES PVT LTD-GILGIT,33712909.0,44090743.0,141,0,0.0,🟢 Low
PREMIER SALES PVT LTD-GUJJAR KHAN,52415121.0,66131459.0,204,0,0.0,🟢 Low
PREMIER SALES PVT LTD-GUJRANWALA,128284159.0,152137743.0,213,0,0.0,🟢 Low
PREMIER SALES PVT LTD-GUJRAT,97780209.0,96427448.0,209,0,0.0,🟢 Low
PREMIER SALES PVT LTD-HAFIZABAD,35397365.0,49641041.0,180,0,0.0,🟢 Low
PREMIER SALES PVT LTD-HARIPUR,74251971.0,95391249.0,211,0,0.0,🟢 Low
PREMIER SALES PVT LTD-HASSAN ABDAL,91473956.0,129696814.0,212,0,0.0,🟢 Low
PREMIER SALES PVT LTD-HYDERABAD,151022510.0,192298969.0,220,0,0.0,🟢 Low
PREMIER SALES PVT LTD-ISLAMABAD,183682110.0,232006953.0,230,0,0.0,🟢 Low
PREMIER SALES PVT LTD-JACOBABAD,65325914.0,96547531.0,198,0,0.0,🟢 Low
PREMIER SALES PVT LTD-JHANG,131607034.0,173465616.0,215,0,0.0,🟢 Low
PREMIER SALES PVT LTD-JHELUM,109951128.0,146114532.0,209,0,0.0,🟢 Low
PREMIER SALES PVT LTD-KASUR,60825658.0,85754695.0,206,0,0.03,🟢 Low
PREMIER SALES PVT LTD-KHANEWAL,67784896.0,95110225.0,206,0,0.0,🟢 Low
PREMIER SALES PVT LTD-KHARIAN,0.0,59592118.0,195,0,0.0,🟢 Low
PREMIER SALES PVT LTD-KOHAT,130106989.0,178022345.0,218,0,0.0,🟢 Low
PREMIER SALES PVT LTD-KORANGI,237100830.0,293688449.0,240,0,0.0,🟢 Low
PREMIER SALES PVT LTD-LAHORE,285174430.0,348541283.0,232,0,0.0,🟢 Low
PREMIER SALES PVT LTD-LARKANA,87942745.0,127183927.0,212,0,0.0,🟢 Low
PREMIER SALES PVT LTD-LAYYAH,42364967.0,128297397.0,207,0,0.0,🟢 Low
PREMIER SALES PVT LTD-MANDI BAHAUDI,46515589.0,65739077.0,196,0,0.0,🟢 Low
PREMIER SALES PVT LTD-MANSEHRA,98806687.0,128443771.0,208,0,0.0,🟢 Low
PREMIER SALES PVT LTD-MARDAN,161568677.0,218894563.0,207,0,0.0,🟢 Low
PREMIER SALES PVT LTD-MIRPURKHAS,69320075.0,94244686.0,202,0,0.0,🟢 Low
PREMIER SALES PVT LTD-MITHI,0.0,25748173.0,160,0,0.0,🟢 Low
PREMIER SALES PVT LTD-MULTAN,184168175.0,230976788.0,227,0,0.0,🟢 Low
PREMIER SALES PVT LTD-MUZAFFARABAD,94660239.0,107131013.0,206,0,0.0,🟢 Low
PREMIER SALES PVT LTD-NAROWAL,35706479.0,49222338.0,167,0,0.0,🟢 Low
PREMIER SALES PVT LTD-NAUSHERO FERO,37646134.0,52104910.0,178,0,0.0,🟢 Low
PREMIER SALES PVT LTD-NAWABSHAH,97359853.0,122133696.0,211,0,0.0,🟢 Low
PREMIER SALES PVT LTD-NOWSHERA,0.0,81836127.0,208,0,0.0,🟢 Low
PREMIER SALES PVT LTD-PESHAWAR,276616424.0,330668966.0,228,0,0.0,🟢 Low
PREMIER SALES PVT LTD-QUETTA,175293561.0,220209481.0,224,0,0.0,🟢 Low
PREMIER SALES PVT LTD-R.Y.KHAN,110007513.0,157203974.0,220,0,0.0,🟢 Low
PREMIER SALES PVT LTD-RAWALPINDI,241715602.0,298569385.0,231,0,0.0,🟢 Low
PREMIER SALES PVT LTD-S.I.T.E AREA,148328683.0,186714336.0,215,0,0.0,🟢 Low
PREMIER SALES PVT LTD-SAHIWAL,120231815.0,149757106.0,221,0,0.0,🟢 Low
PREMIER SALES PVT LTD-SARGODHA,142259887.0,184887715.0,220,0,0.0,🟢 Low
PREMIER SALES PVT LTD-SHAHDADPUR,34828704.0,51369703.0,191,0,0.0,🟢 Low
PREMIER SALES PVT LTD-SHAKARGARH,0.0,3503860.0,119,0,0.01,🟢 Low
PREMIER SALES PVT LTD-SHEIKHUPURA,98251671.0,127102380.0,210,0,0.0,🟢 Low
PREMIER SALES PVT LTD-SHORKOT,0.0,4516058.0,115,0,0.0,🟢 Low
PREMIER SALES PVT LTD-SIALKOT,138600548.0,171591113.0,206,0,0.0,🟢 Low
PREMIER SALES PVT LTD-SUKKUR,110717262.0,143853071.0,213,0,0.0,🟢 Low
PREMIER SALES PVT LTD-SWABI,96261546.0,136645777.0,196,0,0.0,🟢 Low
PREMIER SALES PVT LTD-SWAT,222468113.0,291609698.0,220,0,0.0,🟢 Low
PREMIER SALES PVT LTD-THATTA,26681216.0,36637142.0,188,0,0.0,🟢 Low
PREMIER SALES PVT LTD-TIMERGARA,146754654.0,175223832.0,212,0,0.0,🟢 Low
PREMIER SALES PVT LTD-UMERKOT,54774995.0,60413699.0,190,0,0.0,🟢 Low
PULSE CARE TRADERS,99992376.0,49168945.0,203,0,0.0,🟢 Low
PUNJAB UNIVERSITY,1967607.0,5134102.0,61,0,0.0,🟢 Low
REHMAN TRADING COMPANY,14637214.0,13976783.0,100,0,0.0,🟢 Low
S&T CORPORATION,875912.0,1127690.0,38,0,0.0,🟢 Low
S.K. DISTRIBUTOR-ISLAMABAD INST DIS,1115856.0,12185674.0,108,0,0.0,🟢 Low
