Product,City,Apr2026_Qty,AvgPrice,Apr2026_Rev
INOSITA PLUS TAB. 50/500MG CP ,Karachi,889.0,381.7430555555556,339312.3149305556
INOSITA PLUS TAB. 50/500MG CP ,Peshawar,576.0,767.6833333333334,441801.75833333336
INOSITA PLUS TAB. 50/500MG CP ,Lahore,841.0,804.65,676541.6734999999
INOSITA PLUS TAB. 50/500MG CP ,Rawalpindi,758.0,805.2761904761904,610471.8272380952
INOSITA PLUS TAB. 50/500MG CP ,Swat,825.0,804.6541666666666,664233.9680416666
X-PLENDED TAB. 20MG CP 1X10'S,Karachi,43.0,222.08541666666665,9451.955333333333
X-PLENDED TAB. 20MG CP 1X10'S,Peshawar,310.0,441.4041666666667,136702.87041666667
X-PLENDED TAB. 20MG CP 1X10'S,Lahore,169.0,459.2166666666667,77410.1535
X-PLENDED TAB. 20MG CP 1X10'S,Rawalpindi,450.0,460.3374999999999,207197.90874999997
X-PLENDED TAB. 20MG CP 1X10'S,Swat,735.0,465.7285714285714,342180.096
AVSAR TAB. 160/10MG CP 2X7'S,Karachi,811.0,232.43888888888887,188584.64372222222
AVSAR TAB. 160/10MG CP 2X7'S,Peshawar,283.0,463.3833333333334,131308.9351666667
AVSAR TAB. 160/10MG CP 2X7'S,Lahore,1097.0,489.55833333333334,537172.7768333333
AVSAR TAB. 160/10MG CP 2X7'S,Rawalpindi,1214.0,490.6166666666666,595785.2553333333
AVSAR TAB. 160/10MG CP 2X7'S,Swat,1159.0,490.6166666666666,568752.2769999999
GOURIC TAB. 40MG CP 2X10'S,Karachi,1214.0,216.35347222222222,262596.863375
GOURIC TAB. 40MG CP 2X10'S,Peshawar,175.0,437.3583333333333,76437.11591666666
GOURIC TAB. 40MG CP 2X10'S,Lahore,61.0,456.9875,28086.45175
GOURIC TAB. 40MG CP 2X10'S,Rawalpindi,939.0,457.38750000000005,429706.4085000001
GOURIC TAB. 40MG CP 2X10'S,Swat,285.0,457.38750000000005,130428.61950000003
GOURIC TAB. 80MG CP 2X10'S,Karachi,948.0,748.7826388888889,710205.3573333333
GOURIC TAB. 80MG CP 2X10'S,Peshawar,658.0,724.4347826086956,476482.4895652174
GOURIC TAB. 80MG CP 2X10'S,Lahore,617.0,747.1750000000001,460954.67275
GOURIC TAB. 80MG CP 2X10'S,Rawalpindi,948.0,747.7391304347826,709230.5652173914
GOURIC TAB. 80MG CP 2X10'S,Swat,530.0,748.8818181818183,397057.1400000001
AVSAR TAB. 160/5MG CP 2X7'S,Karachi,1492.0,191.52152777777778,285734.7977222222
AVSAR TAB. 160/5MG CP 2X7'S,Peshawar,663.0,384.3979166666666,255013.42189583328
AVSAR TAB. 160/5MG CP 2X7'S,Lahore,504.0,405.0125,204312.60575
AVSAR TAB. 160/5MG CP 2X7'S,Rawalpindi,972.0,403.8541666666667,392457.40208333335
AVSAR TAB. 160/5MG CP 2X7'S,Swat,1119.0,404.1458333333333,452126.0266666667
INOSITA PLUS TAB. 50/1000MG CP,Karachi,830.0,388.8115942028985,322748.61623188405
INOSITA PLUS TAB. 50/1000MG CP,Peshawar,1110.0,808.31875,897152.9806250001
INOSITA PLUS TAB. 50/1000MG CP,Lahore,644.0,835.4521739130432,537730.4372173911
INOSITA PLUS TAB. 50/1000MG CP,Rawalpindi,254.0,830.5099999999999,211356.4899
INOSITA PLUS TAB. 50/1000MG CP,Swat,623.0,848.8749999999998,529052.8549999999
X-PLENDED TAB. 10MG CP 1X10'S,Karachi,41.0,156.41875,6419.425499999999
X-PLENDED TAB. 10MG CP 1X10'S,Peshawar,519.0,305.45208333333335,158554.0674166667
X-PLENDED TAB. 10MG CP 1X10'S,Lahore,559.0,322.91249999999997,180598.50299999997
X-PLENDED TAB. 10MG CP 1X10'S,Rawalpindi,102.0,323.67083333333335,32897.9035
X-PLENDED TAB. 10MG CP 1X10'S,Swat,36.0,327.9045454545454,11719.308454545455
AVSAR PLUS TAB. 160/10/12.5MG ,Karachi,1185.0,396.94782608695647,470216.45582608687
AVSAR PLUS TAB. 160/10/12.5MG ,Peshawar,532.0,397.97173913043486,211685.1477608696
AVSAR PLUS TAB. 160/10/12.5MG ,Lahore,1029.0,395.2086956521739,406851.54382608697
AVSAR PLUS TAB. 160/10/12.5MG ,Rawalpindi,686.0,394.8347826086956,270836.91913043475
AVSAR PLUS TAB. 160/10/12.5MG ,Swat,501.0,397.02727272727265,199045.65290909086
AVSAR TAB. 80/5MG CP 2X7'S,Karachi,103.0,154.45208333333332,15944.0885625
AVSAR TAB. 80/5MG CP 2X7'S,Peshawar,531.0,299.10625,158762.60643749998
AVSAR TAB. 80/5MG CP 2X7'S,Lahore,83.0,319.87083333333334,26613.253333333334
AVSAR TAB. 80/5MG CP 2X7'S,Rawalpindi,694.0,319.87083333333334,221948.77512500001
AVSAR TAB. 80/5MG CP 2X7'S,Swat,687.0,319.87083333333334,219853.62116666668
