SDP Name,AvgReorderDays,LastOrderDate,NextOrderEst,AvgMonthlyRev,AvgMonthlyQty,MonthsActive,Reliability
A Q TRADERS - RAWALPINDI,30.0,2025-12,2025-12,0.0,961.5,2,🟢 Regular
CEO DHA BHAKKAR,30.0,2025-12,2025-12,0.0,0.0,2,🟢 Regular
DYNAM PHARMA,30.0,2025-12,2025-12,106852.0,377.5,2,🟢 Regular
CEO DHA TOBA TEK SINGH,30.0,2025-12,2025-12,0.0,0.0,2,🟢 Regular
CEO DHA RAWALPINDI,30.0,2025-12,2025-12,0.0,0.0,2,🟢 Regular
CEO DHA SHEIKHUPURA,30.0,2025-12,2025-12,7316.5,83.5,2,🟢 Regular
CEO DHA KHUSHAB,30.0,2025-12,2025-12,0.0,429.5,2,🟢 Regular
CEO DHA CHAKWAL,30.0,2025-12,2025-12,0.0,0.0,2,🟢 Regular
ITTEFAQ MEDICAL STORE-QUETTA,30.0,2024-12,2024-12,0.0,8.0,2,🟢 Regular
PREMIER AGENCIES - KORANGI,30.0,2025-06,2025-07,913711.8,2265.2,5,🟢 Regular
SCITECH HEALTH (PVT) LTD.(QnE),30.2,2024-05,2024-05,918179.6,2078.2,5,🟢 Regular
INACTIVE - NUSRAT PHARMA,30.3,2024-04,2024-05,5927227.25,17825.75,4,🟢 Regular
PREMIER SALES PVT LTD-KHARIAN,30.3,2025-12,2025-12,5417465.2727272725,15510.818181818182,11,🟢 Regular
ZAIDI TRADERS,30.3,2025-12,2025-12,0.0,41.0,11,🟢 Regular
INACTIVE - TAURAS MEDICAL COMPANY,30.3,2024-04,2024-05,550267.5,2204.25,4,🟢 Regular
ALI HAJVERY PHARMA,30.4,2025-12,2025-12,7922509.333333333,22581.291666666668,24,🟢 Regular
CRYSTAL AGENCIES,30.4,2025-12,2025-12,2351365.9166666665,9186.083333333334,24,🟢 Regular
DYNAMIC PHARMA - MULTAN,30.4,2025-12,2025-12,0.0,38.708333333333336,24,🟢 Regular
BIOMAX PHARMA - LAHORE,30.4,2025-12,2025-12,0.0,608.9583333333334,24,🟢 Regular
BURHAN TRADERS,30.4,2025-12,2025-12,0.0,34.46153846153846,13,🟢 Regular
AL-RAZZAK ENTERPRISES - KARACHI,30.4,2025-12,2025-12,12087.347826086956,549.3478260869565,23,🟢 Regular
ASIAN CONTINENTAL (PVT) LIMITED,30.4,2025-12,2025-12,0.0,0.0,24,🟢 Regular
FINE TRADERS - LAHORE,30.4,2025-12,2025-12,12851.304347826086,702.6521739130435,23,🟢 Regular
LIFE LINE DISTRIBUTORS,30.4,2025-12,2025-12,4684470.541666667,22718.125,24,🟢 Regular
JUNAID MEDICOSE DISTRIBUTORS,30.4,2025-12,2025-12,0.0,291.9166666666667,24,🟢 Regular
M. ABDULLAH ENTERPRISES,30.4,2025-12,2025-12,5921219.625,24818.416666666668,24,🟢 Regular
HAROON ENTERPRISES - PESHAWAR,30.4,2025-12,2025-12,1235915.9583333333,4377.833333333333,24,🟢 Regular
HEALTH CARE ENTERPRISES,30.4,2025-12,2025-12,500985.0,2031.5,24,🟢 Regular
AL-ABBAS DISTRIBUTORS,30.4,2025-12,2025-12,2608531.375,7059.083333333333,24,🟢 Regular
ATIF DISTRIBUTOR,30.4,2025-12,2025-12,9985169.041666666,28450.333333333332,24,🟢 Regular
AHMAD ENTERPRISES,30.4,2025-06,2025-07,4652792.166666667,13963.333333333334,18,🟢 Regular
AGA KHAN HOSPITAL & MEDICAL COLLEGE,30.4,2025-12,2025-12,0.0,182.91666666666666,24,🟢 Regular
MAX ENTERPRISES,30.4,2025-12,2025-12,694923.75,3471.4583333333335,24,🟢 Regular
MEDI AIM PHARMA,30.4,2025-12,2025-12,1122175.2083333333,6878.291666666667,24,🟢 Regular
MEDICATE  INTERNATIONAL,30.4,2025-12,2025-12,887988.8333333334,5154.708333333333,24,🟢 Regular
PAKISTAN VACCINE HOUSE,30.4,2025-12,2025-12,4353.166666666667,770.2916666666666,24,🟢 Regular
NOVIPHARM ENTERPRISES,30.4,2025-12,2025-12,0.0,53.125,24,🟢 Regular
NUSRAT PHARMA - KOTLI,30.4,2025-12,2025-12,9579687.142857144,27028.761904761905,21,🟢 Regular
LIFE CARE - RAWALPINDI,30.4,2025-12,2025-12,0.0,1653.5714285714287,21,🟢 Regular
NOOR MEDICINE COMPANY,30.4,2025-12,2025-12,3136150.0416666665,9993.625,24,🟢 Regular
ONCOCARE PHARMACY,30.4,2025-12,2025-12,1333418.0,5175.166666666667,24,🟢 Regular
