ProductName,TotalRevenue,TotalPromoSpend,ROI
Xcept,1267502151.8717,8534703.15,148.51156854491185
Oxivort,8999737.4085,67693.0,132.9493065531148
Zilfom,42300571.2906,587827.5,71.96085805886932
Telsarta-A,543015154.76,8200414.74,66.21801115878682
Evopride,427000839.6682,6475548.68,65.94048794459839
Ramipace,951497480.9099001,14442041.36,65.88386345058218
Lowplat,2174154686.3774605,47158066.89,46.10355830422082
Phytus,33810886.3057,738112.0,45.8072573074276
Inosita Plus,3460729626.69551,94517546.19,36.61467913839745
Gouric,2054719922.7086,57259835.38,35.884139538170636
Busonide,355935429.7209,9987005.68,35.639854539554044
Lowplat Plus,2878362822.8076,85988952.15,33.4736352849905
Aireez,382152265.3584,11792682.6,32.40588069065812
Orslim,1595054963.478,52513125.98,30.374405136069946
Avsar,3802475833.9849,130083070.46,29.23113530868066
Treatan,331256648.9067,11988400.879999999,27.631429097381005
Evofix,110413338.4357,4017946.26,27.480043607079008
Opt-D,900595483.9183,34323141.52,26.238725362406743
Klevra,215142234.5415,8343553.74,25.785443618596503
Tiocap,97633630.26637,4240336.3,23.02497334147058
Evopride Plus,615828554.0806,27405482.25,22.470998629502315
Telsarta,217372278.6987,9883953.28,21.99244295686311
Voxamine,203052863.3894,9548288.68,21.26589069460351
Duzalta,465204888.3605,22141848.31,21.01021025197783
Onita,363027493.412,18019135.31,20.146776588693037
Inosita,374206678.6033,20535152.27,18.22273697721648
Evokalm,230154619.76000002,12643600.15,18.20325042151859
Actiflor,117358969.3476,6590319.5600000005,17.80778128877259
Erli Plus XR,402840634.5108,22892377.44,17.597151522013345
Estar,1278171499.9892,72987435.07,17.512212872850586
Avsar Plus,1236716482.3945,74245046.35,16.657225541546183
Erlina,523094687.8038,32637036.45,16.02764051831673
Nise,1697491871.9937,108446515.11,15.652802400076128
Zibes,151080575.91195,10125232.48,14.921195756282525
Thewril,108888291.08,7827123.4,13.911661477063207
Xilica,339013394.5511,25114821.57,13.498538845127857
Supercran,27203966.446,2152807.84,12.6365047267758
Ferfer Gro,38930137.109,3114041.0,12.501485082887475
Kalsob,699295898.3976,58077870.96,12.04066001109487
Fasteso,79382514.6222,6876680.08,11.543726580079612
Arbi,108992031.8339,9471770.18,11.507039313943743
Redexa,90159008.0093,8643593.22,10.430732418166711
Zoltar,209990990.1519,21980460.33,9.553530135367279
Dapwiz,201049818.7144,22712516.02,8.851939544582432
Vible,162713534.2536,18422370.2,8.832388693046674
Forsonide,7184500.05,828088.0,8.676010339480827
Dipof,55370582.798,6415747.96,8.630417395324239
Ferfer,458868367.6998,55337503.74,8.292176854521049
Erlina Plus XR,82837300.9889,10624933.45,7.796500691390214
Histalis,57127717.1765,7361399.85,7.760442081746178
Erli Plus,285420608.8575,40982381.72,6.964470996526066
SheVit,215473392.80229998,38451669.61,5.603746078850696
Retzole,106469390.95,20679479.24,5.148552809978788
Stevo,30796929.1894,6403120.0,4.8096754690525865
Itipso,42327557.525,9045138.03,4.679592216792296
Revolic,23015038.5982,5628720.18,4.088858188399055
Galvecta,14931675.5779,5131952.81,2.9095504441904643
Dapwiz Plus XR,61467162.7873,27618266.330000002,2.225598162203688
REKLAIM,34523.8701,113000.0,0.30552097433628317
