TeamName,Q2_2026_Forecast,Rev2025,Spend2025,Trips2025,DiscRate,Growth_vs_2025,Status
Challengers,711417566.8070031,3184472433.5515003,0.0,0.0,0.0055090352673800615,-10.639192939900466,🔴 At Risk
Alpha,433926610.03147817,1965151100.8315501,0.0,0.0,0.007608966817061166,-11.675675250037942,🔴 At Risk
Legends,430647477.496585,1856346950.5965,0.0,0.0,0.006002407698701226,-7.205390165194051,🔴 At Risk
Champions,400560644.9681426,1752223183.19118,0.0,0.0,0.008765818059870886,-8.559446351204082,🔴 At Risk
Metabolizers,378429183.75600314,1619216664.3121,0.0,0.0,0.00862128188632393,-6.515491818564469,🔴 At Risk
Bravo,330885934.08081865,1442336597.5528,0.0,0.0,0.005987382773474552,-8.236139985013217,🔴 At Risk
Winners,313223263.61951023,1368725430.802,0.0,0.0,0.006537027865728883,-8.462791274075146,🔴 At Risk
Warriors,281080298.3770283,1298088288.7304,0.0,0.0,0.006757214278491074,-13.386384942447979,🔴 At Risk
Bone Saviors,278855011.6442629,1252686558.5582,0.0,0.0,0.004629861053051868,-10.957770005861434,🔴 At Risk
Transformer,259674993.86521485,1156041351.6915,0.0,0.0,0.007249091469766301,-10.150274993100258,🔴 At Risk
Elite,207707402.9693352,947597421.5220001,0.0,0.0,0.011365422584873207,-12.322512386864734,🔴 At Risk
Gladiators,199940271.80711475,890960775.8513,0.0,0.0,0.008969927006599347,-10.236105908893805,🔴 At Risk
Titans,197454261.67590094,880040846.7808,0.0,0.0,0.008770175573140809,-10.252228678615998,🔴 At Risk
BD,186085977.81142402,761436173.0904,0.0,0.0,0.03057029366455125,-2.244739933398813,🟡 Watch
Mavericks,166799576.3963008,739961051.459,0.0,0.0,0.00915720325965455,-9.833321055254011,🔴 At Risk
Navigators,159809436.25328812,705789989.1676,0.0,0.0,0.005280531162104658,-9.429468422035631,🔴 At Risk
Falcons,121710515.94229695,533043437.0632,0.0,0.0,0.19809179066683544,-8.667468742989955,🔴 At Risk
Thunder,109927863.74453692,500093313.25347,0.0,0.0,0.007875074748186021,-12.074118304540907,🔴 At Risk
Omron,71556677.12418541,325415451.4175,0.0,0.0,0.06709224240870065,-12.042680441280023,🔴 At Risk
Strikers,54783763.55184971,273285924.7907,0.0,0.0,0.196675858495699,-19.814730899431947,🔴 At Risk
Thunderbolt,25759864.40729177,98135426.522,0.0,0.0,0.006451749110441482,4.997207716896909,🟡 Watch
Aviators,11123423.098029606,6756616.0,3454979.0,7.0,0.050958950912025444,558.5203656996109,🟢 On Track
Discontinued,7198874.225061709,3022308.9876,0.0,0.0,0.02319537386199291,852.7648237949752,🟢 On Track
Conqueror,3298309.0917838267,2063327.9185000001,0.0,0.0,0.008977203183792878,539.4153953350535,🟢 On Track
