City,Revenue,Trips,RevPerTrip,OpportunityScore,Priority
Karachi,872177539.0,0.0,872177539.0,100.0,🔴 High Opportunity
Fb,497341803.0,0.0,497341803.0,74.2,🔴 High Opportunity
Rawalpindi,540284987.0,39.0,13853461.205128206,64.1,🔴 High Opportunity
Peshawar,636947373.0,207.0,3077040.4492753623,64.0,🔴 High Opportunity
Swat,514077811.0,63.0,8159965.253968254,62.2,🔴 High Opportunity
Timergara,321978486.0,1.0,321978486.0,62.1,🔴 High Opportunity
Jhang,305072650.0,0.0,305072650.0,61.0,🔴 High Opportunity
Lh,300712850.0,0.0,300712850.0,60.7,🔴 High Opportunity
Mardan,380463240.0,5.0,76092648.0,59.1,🟡 Needs Attention
D.G.Khan,268857814.0,0.0,268857814.0,58.5,🟡 Needs Attention
R.Y.Khan,267211487.0,0.0,267211487.0,58.4,🟡 Needs Attention
Bannu,339144075.0,3.0,113048025.0,58.1,🟡 Needs Attention
Quetta,395515126.0,41.0,9646710.390243903,57.3,🟡 Needs Attention
ATIF DISTRIBUTOR,239644057.0,0.0,239644057.0,56.5,🟡 Needs Attention
Kohat,308129334.0,3.0,102709778.0,56.4,🟡 Needs Attention
Faisalabad,441588805.0,165.0,2676295.787878788,56.1,🟡 Needs Attention
Swabi,232907323.0,1.0,232907323.0,56.0,🟡 Needs Attention
Mansehra,227250458.0,0.0,227250458.0,55.6,🟡 Needs Attention
Hassan Abdal,221170770.0,0.0,221170770.0,55.2,🟡 Needs Attention
Sargodha,327147602.0,22.0,14870345.545454545,54.8,🟡 Needs Attention
D.I.Khan,212978216.0,0.0,212978216.0,54.7,🟡 Needs Attention
Kotli,201173430.0,0.0,201173430.0,53.8,🟡 Needs Attention
Sialkot,310212496.0,36.0,8617013.777777778,53.5,🟡 Needs Attention
ALI HAJVERY PHARMA,190140224.0,0.0,190140224.0,53.1,🟡 Needs Attention
Multan,415144963.0,260.0,1596711.396153846,52.4,🟡 Needs Attention
Jhelum,256065660.0,8.0,32008207.5,52.3,🟡 Needs Attention
Sheikhupura,225354051.0,3.0,75118017.0,52.0,🟡 Needs Attention
Sahiwal,269988921.0,38.0,7104971.605263158,51.6,🟡 Needs Attention
Haripur,169643220.0,1.0,169643220.0,51.6,🟡 Needs Attention
Khanewal,162895121.0,0.0,162895121.0,51.2,🟡 Needs Attention
Attock,162374624.0,0.0,162374624.0,51.2,🟡 Needs Attention
Gujranwala,280421902.0,69.0,4064085.5362318843,51.2,🟡 Needs Attention
Jacobabad,161873445.0,1.0,161873445.0,51.1,🟡 Needs Attention
Chakwal,154338277.0,1.0,154338277.0,50.6,🟡 Needs Attention
PULSE CARE TRADERS,149161321.0,0.0,149161321.0,50.3,🟡 Needs Attention
Kasur,146580353.0,1.0,146580353.0,50.1,🟡 Needs Attention
Ghotki,145211743.0,0.0,145211743.0,50.0,🟡 Needs Attention
Abbottabad,232639705.0,37.0,6287559.594594595,49.9,🟡 Needs Attention
Bahawalpur,242208675.0,55.0,4403794.090909091,49.8,🟡 Needs Attention
M. ABDULLAH ENTERPRISES,142109271.0,0.0,142109271.0,49.8,🟡 Needs Attention
Fateh Medicine Company,140809696.0,0.0,140809696.0,49.7,🟡 Needs Attention
Layyah,170662364.0,2.0,85331182.0,49.7,🟡 Needs Attention
Gujrat,194207657.0,6.0,32367942.833333332,49.5,🟡 Needs Attention
Larkana,215126672.0,27.0,7967654.518518519,49.4,🟡 Needs Attention
Muzaffarabad,201791252.0,13.0,15522404.0,49.3,🟡 Needs Attention
Sukkur,254570333.0,100.0,2545703.33,49.2,🟡 Needs Attention
Nawabshah,219493549.0,43.0,5104501.139534884,49.1,🟡 Needs Attention
Bahawalnagar,154141262.0,2.0,77070631.0,48.8,🟡 Needs Attention
Hyderabad,343330197.0,289.0,1187993.7612456747,48.4,🟡 Needs Attention
Gujjar Khan,118546580.0,0.0,118546580.0,48.2,🟡 Needs Attention
Dadu,141396657.0,2.0,70698328.5,48.1,🟡 Needs Attention
LIFE LINE DISTRIBUTORS,112427293.0,0.0,112427293.0,47.7,🟡 Needs Attention
Mandi Bahaudi,112254666.0,0.0,112254666.0,47.7,🟡 Needs Attention
SPECTRUM MEDICAL SUPPLIES,104609494.0,0.0,104609494.0,47.2,🟡 Needs Attention
Mirpurkhas,163564761.0,29.0,5640164.172413793,46.9,🟡 Needs Attention
Naushero Fero,89751044.0,0.0,89751044.0,46.2,🟡 Needs Attention
Umerkot,115188694.0,3.0,38396231.333333336,46.1,🟡 Needs Attention
