Yr,Mo,Trips
2023,9,125
2024,2,116
2024,10,188
2026,1,220
2022,8,96
2022,2,94
2021,7,89
2025,6,193
2023,12,183
2023,6,198
2022,5,140
2022,11,116
2025,3,84
2021,4,31
2025,9,200
2024,8,110
2023,1,104
2023,7,87
2022,6,120
2025,4,164
2025,12,233
2023,10,162
2024,5,118
2024,11,126
2023,4,35
2026,2,114
2021,10,136
2022,3,104
2025,1,174
2024,6,85
2023,5,63
2024,12,213
2026,3,84
2021,11,132
2022,12,85
2021,5,28
2025,10,216
2024,3,76
2024,9,163
2023,2,110
2023,8,136
2022,1,80
2021,8,72
2022,9,106
2025,7,167
2023,11,123
2024,4,54
2023,3,79
2022,4,44
2021,9,148
2025,2,153
2022,10,110
2025,8,132
2021,3,130
2024,1,82
2024,7,183
2022,7,82
2021,12,126
2021,6,91
2025,5,131
2025,11,204
