ProductName,TotalPromoSpend,TotalRevenue,Months,ROI,RevenuePerMonth
RAMIPACE,4314382.32,430005536.90830004,11,99.66792579205173,39091412.446209095
XCEPT,5249544.15,395034377.4728,8,75.25117728037395,49379297.1841
LOWPLAT,19916685.2,1168240798.6105602,14,58.65638718889628,83445771.32932572
EVOPRIDE,4699199.68,263305585.1486,16,56.032006102920064,16456599.0717875
LOWPLAT PLUS,34911405.75,1644289301.4639,15,47.09891412676501,109619286.76426001
TELSARTA-A,4727291.24,216824829.4593,10,45.86661122645365,21682482.94593
ORSLIM,32165097.87,1353010228.2395,22,42.064545667104476,61500464.91997728
OPT-D,16844002.3,701064993.3293,20,41.62104592738627,35053249.666465
AVSAR,98717724.19,3365673373.2759,23,34.093911715367916,146333624.9250391
INOSITA PLUS,78393392.53,2444898784.99043,33,31.187561937121206,74087841.96940696
AVSAR PLUS,29698797.59,925546992.2900001,19,31.16446009254074,48712999.59421053
TELSARTA,2859439.98,88342272.6288,11,30.89495609164701,8031115.693527273
EVOPRIDE PLUS,13900294.9,426002082.5409,18,30.646981636403986,23666782.363383334
ANPLAG,29444382.32,631021902.5467,19,21.430977756258805,33211679.081405263
INOSITA,7511932.859999999,159023477.15850002,11,21.169448678818465,14456679.74168182
ERLI,9923927.58,200613576.4659,11,20.215139101801064,18237597.860536363
NISE,78682274.6,1564007796.0117002,25,19.877511217903965,62560311.840468004
ONITA,12110478.65,231158918.70949998,17,19.087513003418735,13597583.453499999
SACVIN,54975639.32,1021504089.0869,23,18.581031557286128,44413221.26464783
ESTAR,55341624.22,989050895.5941,37,17.87173595885654,26731105.286327027
