Yr,Mo,ProductName,TeamName,TotalUnits,TotalBonus,TotalDiscount,TotalRevenue,InvoiceCount,Date
2024,1,AXIFER,Discontinued,411.0,0.0,136584.425,300103.075,65,2024-01-01
2024,1,Actiflor,Thunderbolt,5434.0,-1.0,33755.5707,3430419.4293,2135,2024-01-01
2024,1,Actnise,Falcons,11792.0,2699.0,64230.3027,3980779.4573,2681,2024-01-01
2024,1,Ad Folic,Gladiators,25367.0,0.0,42952.9802,9824302.6798,10838,2024-01-01
2024,1,Ad Folic OD,Gladiators,31389.0,0.0,120948.4624,16384957.1876,11653,2024-01-01
2024,1,Ad-D Chewable,Gladiators,1804.0,0.0,435.152,505489.968,618,2024-01-01
2024,1,Agoviz,Mavericks,4870.0,0.0,16336.3874,3448425.1126,2338,2024-01-01
2024,1,Aircare,Thunder,2009.0,0.0,4960.542,870762.558,504,2024-01-01
2024,1,Aireez,Thunder,16217.0,0.0,31321.1848,10307016.3152,6272,2024-01-01
2024,1,Aireez,Thunderbolt,6343.0,1.0,5628.7,2312499.8,1333,2024-01-01
2024,1,Anex-M,Titans,2263.0,0.0,1343.68,751918.5000000001,783,2024-01-01
2024,1,Anplag,Champions,14271.0,0.0,220207.935,19455473.065,6073,2024-01-01
2024,1,Arbi,Winners,13189.0,0.0,25165.8416,4662460.9084,5748,2024-01-01
2024,1,Arbi-D,Winners,21245.0,0.0,56710.039,9780841.461,8369,2024-01-01
2024,1,Avsar,Challengers,264555.0,0.0,456672.9166,120491168.3834,66432,2024-01-01
2024,1,Avsar Plus,Bravo,85709.0,0.0,114545.39229999999,38607604.757699996,34846,2024-01-01
2024,1,BD PEN NEEDLE,BD,119591.0,0.0,16526.7014,2675737.6386,982,2024-01-01
2024,1,BD SYRINGE - BAG,BD,1758721.0,1515.0,1648121.7637,60418633.9863,15644,2024-01-01
2024,1,Busonide,Thunder,21629.0,0.0,39145.56,9837925.84,6206,2024-01-01
2024,1,Byvas,Legends,78659.0,0.0,69300.8002,22300711.0498,24803,2024-01-01
2024,1,Dapwiz,Legends,23332.0,0.0,33527.4697,7448121.5303,8137,2024-01-01
2024,1,Dipof,Mavericks,7703.0,0.0,7532.2779,1752289.7321,3039,2024-01-01
2024,1,Diu Tansin,Transformer,9812.0,0.0,10606.646499999999,2282948.3535,4844,2024-01-01
2024,1,Duzalta,Mavericks,29095.0,0.0,116538.2858,16953880.8042,8680,2024-01-01
2024,1,Eglaro,Navigators,711.0,0.0,2072.742,300222.198,453,2024-01-01
2024,1,Eglaro-S,Navigators,9911.0,0.0,16616.1385,6369123.6115,3756,2024-01-01
2024,1,Erli,Bravo,30239.0,0.0,71147.3477,13025809.0523,11724,2024-01-01
2024,1,Erli Plus,Transformer,14747.0,0.0,11487.92,5094658.43,6806,2024-01-01
2024,1,Erli Plus XR,Transformer,30181.0,0.0,91071.117,15907588.083,13192,2024-01-01
2024,1,Erlina,Winners,19446.0,0.0,60651.806000000004,11299540.394,6871,2024-01-01
2024,1,Estar,Mavericks,38548.0,0.0,60371.794,11353691.006000001,11447,2024-01-01
2024,1,Estar,Titans,68449.0,0.0,213588.225,29752834.525,16832,2024-01-01
2024,1,Evo Joshanda,Falcons,6220.0,-4.0,322828.3896,2849371.6104,2629,2024-01-01
2024,1,EvoCheck,Discontinued,149.0,0.0,131201.28,727038.72,70,2024-01-01
2024,1,EvoCheck,Falcons,7738.0,0.0,1969958.7797,17446303.8503,2426,2024-01-01
2024,1,EvoCheck Go,Falcons,5161.0,10.0,662166.6900000001,8748165.31,1736,2024-01-01
2024,1,Evofix,Conqueror,17162.0,0.0,291374.5175,4046200.9825,1844,2024-01-01
2024,1,Evofix,Gladiators,5492.0,0.0,321532.22,3599755.78,1225,2024-01-01
2024,1,Evokalm,Mavericks,29861.0,0.0,49734.984099999994,8102586.4559,8066,2024-01-01
2024,1,Evokalm XR,Mavericks,3047.0,0.0,14421.068800000001,1837393.1812,1110,2024-01-01
2024,1,Evopride,Winners,25780.0,0.0,65750.6173,15000926.7427,14492,2024-01-01
2024,1,Evopride Plus,Winners,55130.0,0.0,59978.941100000004,23759641.498899993,23020,2024-01-01
2024,1,Fasteso,Metabolizers,8378.0,0.0,9521.3838,3221668.2762,3711,2024-01-01
2024,1,Femova,Gladiators,11349.0,0.0,78478.0516,12184229.9384,3986,2024-01-01
2024,1,Ferfer,Gladiators,14107.0,0.0,52551.246399999996,10617419.273599999,5829,2024-01-01
2024,1,Ferfer Gro,Gladiators,7069.0,0.0,17000.309,2961310.771,2577,2024-01-01
2024,1,Galvecta,Navigators,2403.0,0.0,3761.6271000000006,813258.3729,1271,2024-01-01
2024,1,Galvecta Plus,Navigators,17451.0,0.0,49773.149900000004,8797154.3501,8476,2024-01-01
2024,1,Gouric,Elite,18963.0,0.0,111421.239,16168314.261,8363,2024-01-01
2024,1,Gouric,Transformer,73089.0,0.0,295988.023,39464427.977,24941,2024-01-01
2024,1,Histalis,Thunder,10833.0,0.0,2906.0271000000002,1844398.9729,2084,2024-01-01
2024,1,Inosita,Metabolizers,13648.0,0.0,103679.564,14459948.606,6513,2024-01-01
2024,1,Inosita Plus,Metabolizers,87636.0,0.0,613327.3690000001,91293245.881,31184,2024-01-01
2024,1,Inosita Plus,Winners,49927.0,0.0,199274.7461,30378470.5539,17839,2024-01-01
2024,1,Ivadin,Discontinued,8953.0,0.0,15869.927500000002,3180351.0725,4149,2024-01-01
2024,1,K-1000,Warriors,19895.0,0.0,60619.465599999996,12407378.084400002,6836,2024-01-01
2024,1,Kalsob,Bone Saviors,28537.0,0.0,126441.97970000001,17757695.9203,8005,2024-01-01
2024,1,Klevra,Mavericks,7798.0,0.0,54361.5548,7625429.0752,3342,2024-01-01
