Yr,Mo,ProductName,TeamName,TotalUnits,TotalBonus,TotalDiscount,TotalRevenue,InvoiceCount
2024,1,Azliv,Discontinued,-153.0,41.0,-385.5285,-40758.4215,135
2024,1,EVOZID,Discontinued,-1.0,0.0,0.0,-191.25,1
2024,1,FREEDEP,Scitech,0.0,0.0,0.0,-229.5,2
2024,1,HIFAZAT,Discontinued,-91.0,0.0,-812.9731,-19020.4769,1
2024,1,IBANDRO,Discontinued,-15.0,0.0,-44.625,-6649.125,21
2024,1,LACTEUS GROW 3,Discontinued,-2.0,0.0,0.0,-2386.5,1
2024,1,MYOPRO,Discontinued,-2.0,0.0,0.0,-410.18,2
2024,1,SPEDICAM,Discontinued,-34.0,0.0,0.0,-4320.72,18
2024,1,UFI,Discontinued,-71.0,0.0,-2193.4249999999997,-31594.075,126
2024,1,WINZITH,Scitech,-1.0,0.0,0.0,-191.25,1
2024,2,Aireez,Discontinued,-2.0,0.0,0.0,-285.6,2
2024,2,Azliv,Discontinued,-53.0,-9.0,0.0,-12235.029999999999,39
2024,2,EvoCheck,Discontinued,-288.0,-3.0,-191535.8436,-1467344.1564,79
2024,2,HIFAZAT,Discontinued,-3.0,0.0,0.0,-337.83,1
2024,2,IBANDRO,Discontinued,-53.0,0.0,-89.25,-23562.0,42
2024,2,LACTEUS GROW 3,Discontinued,-1.0,0.0,0.0,-1193.25,1
2024,2,MFIT,Discontinued,-1.0,0.0,0.0,-1220.52,1
2024,2,SPEDICAM,Discontinued,-52.0,0.0,0.0,-6608.16,37
2024,3,Aireez,Discontinued,-10.0,0.0,0.0,-1428.0,4
2024,3,Azliv,Discontinued,-35.0,0.0,-6.375,-7636.8550000000005,44
2024,3,BONEDOL,Discontinued,-1.0,0.0,0.0,-127.5,1
2024,3,CLEAR LAX,Discontinued,-1.0,0.0,0.0,-408.0,1
2024,3,ESMART,Discontinued,-21.0,0.0,0.0,-4466.9400000000005,11
2024,3,EvoCheck,Discontinued,-77.0,0.0,-50130.455799999996,-393389.5442,59
2024,3,Evocheck M BGM,Discontinued,-17.0,0.0,-816.0,-22304.0,2
2024,3,Evopravir,Discontinued,-10.0,0.0,0.0,-19125.0,4
2024,3,FORMIS,Discontinued,-5.0,0.0,0.0,-2179.5,5
2024,3,FREEDEP,Scitech,-11.0,0.0,0.0,-2703.0,6
2024,3,HIFAZAT,Discontinued,-3.0,0.0,0.0,-337.83,1
2024,3,IBANDRO,Discontinued,-50.0,0.0,-86.55799999999999,-22225.942,43
2024,3,INNOGEN N,Discontinued,-1.0,0.0,0.0,-394.4,1
2024,3,INNOGEN R,Discontinued,-4.0,0.0,0.0,-1577.6,2
2024,3,LACTEUS 1,Discontinued,-40.0,0.0,0.0,-47730.0,17
2024,3,LACTEUS 2,Discontinued,-49.0,0.0,0.0,-58469.25,18
2024,3,LACTEUS 3,Discontinued,-22.0,0.0,0.0,-26251.5,8
2024,3,LACTEUS AR,Discontinued,-45.0,0.0,-595.2375,-58928.5125,12
2024,3,LACTEUS GROW 3,Discontinued,-1.0,0.0,0.0,-1193.25,2
2024,3,LACTEUS LF,Discontinued,-27.0,0.0,0.0,-35964.0,7
2024,3,MFIT,Discontinued,-15.0,0.0,0.0,-18307.8,10
2024,3,MYOPRO,Discontinued,-37.0,0.0,0.0,-7248.55,22
2024,3,NOZEA,Discontinued,-4.0,0.0,0.0,-958.96,3
2024,3,NUVAL,Discontinued,-17.0,0.0,0.0,-3601.4399999999996,9
2024,3,NUVAL D,Discontinued,-26.0,0.0,0.0,-5841.5599999999995,11
2024,3,PAIN GEAR,Discontinued,-15.0,0.0,-1225.962,-39639.437999999995,3
2024,3,RIXABAC,Discontinued,-1.0,0.0,0.0,-434.53,1
2024,3,SECURIN,Discontinued,-3.0,0.0,0.0,-646.62,2
2024,3,SETSPIN,Discontinued,-30.0,0.0,-70.608,-8683.592,15
2024,3,SPEDICAM,Discontinued,-215.0,0.0,-188.0777,-27134.1223,126
2024,3,UFI,Discontinued,-339.0,0.0,-1287.75,-142693.75,112
2024,3,WINZITH,Scitech,-2.0,0.0,0.0,-382.5,2
2024,4,Aireez,Discontinued,-2.0,0.0,0.0,-285.5999999999999,6
2024,4,Azliv,Discontinued,-36.0,-5.0,0.0,-7876.98,29
2024,4,CLEAR LAX,Discontinued,-6.0,0.0,0.0,-2448.0,2
2024,4,ESMART,Discontinued,-22.0,0.0,0.0,-4693.76,16
2024,4,EVOCIN,Scitech,-2.0,0.0,0.0,-170.0,1
