City,Yr,Revenue,Qty,Products
A.A. TRADERS,2025.0,315327.67,943.0,31
ACCESS POINT INT'L TRADING INC.,2024.0,0.0,989.0,6
ACCESS POINT INT'L TRADING INC.,2025.0,0.0,803.0,11
AGA KHAN HEALTH SERVICES PAKISTAN,2025.0,0.0,5.0,1
AGA KHAN HOSPITAL & MEDICAL COLLEGE,2024.0,0.0,2267.0,4
AGA KHAN HOSPITAL & MEDICAL COLLEGE,2025.0,0.0,2123.0,4
AGLOW HEALTHCARE (PVT.) LTD.,2024.0,801998.77,4995.0,14
AGLOW HEALTHCARE (PVT.) LTD.,2025.0,1288257.16,8241.0,19
AHMAD ENTERPRISES,2024.0,58048157.34,175449.0,162
AHMAD ENTERPRISES,2025.0,25702114.08,75891.0,147
AHMAD SAEED MEDICINE DISTRIBUTORS,2025.0,42481802.47,118158.0,165
AHMED BIN QASIM,2024.0,4150390.09,19291.0,24
AHMED BIN QASIM,2025.0,3064643.08,16695.0,21
AIM DISTRIBUTOR FAISALABAD,2024.0,0.0,627.0,5
AIM DISTRIBUTOR FAISALABAD,2025.0,0.0,1122.0,6
AL KHIDMAT PHARMACY SERVICES,2024.0,4324067.25,11485.0,26
AL KHIDMAT PHARMACY SERVICES,2025.0,5677153.15,14771.0,28
AL MUSTAFA ENTERPRISES,2024.0,0.0,60.0,1
AL RABIE SCIENTIFIC BUREAU,2024.0,2109.9,2325.0,32
AL RABIE SCIENTIFIC BUREAU,2025.0,1245.6,802.0,17
ALI HAJVERY PHARMA,2024.0,91923918.25,268110.0,180
ALI HAJVERY PHARMA,2025.0,98216303.78,273841.0,175
ALKHIDMAT HEALTH FOUNDATION,2024.0,100512.5,850.0,4
ALLONS ENTERPRISES,2025.0,315684.57,1037.0,20
AMETHYST GLOBAL (THAILAND) CO.LTD,2024.0,63612.0,1767.0,2
AMETHYST GLOBAL (THAILAND) CO.LTD,2025.0,11936.0,1742.0,2
ASIAN CONTINENTAL (PVT) LIMITED,2024.0,0.0,0.0,13
ASIAN CONTINENTAL (PVT) LIMITED,2025.0,0.0,0.0,13
ASTELA HEALTH CARE (PVT.) LTD.,2024.0,0.0,74.0,5
ASTELA HEALTH CARE (PVT.) LTD.,2025.0,0.0,465.0,5
ATIF DISTRIBUTOR,2024.0,106862054.38,310793.0,199
ATIF DISTRIBUTOR,2025.0,132781982.39,372015.0,196
AVARI TOWERS,2025.0,0.0,10.0,1
AZEEM ENTERPRISES,2024.0,267101.09,1285.0,12
AZEEM ENTERPRISES,2025.0,796302.55,2853.0,19
Abbas Distributors,2024.0,27779723.6,78569.0,113
Abbas Distributors,2025.0,34825020.93,90849.0,108
Abbottabad,2024.0,102567234.08,317358.0,206
Abbottabad,2025.0,130072457.58,362940.0,202
Additional Director (MS&DC) DGHS,2024.0,0.0,0.0,1
Additional Director (MS&DC) DGHS,2025.0,35797.08,937.0,5
Afg,2024.0,1986113.4,67997.0,76
Afg,2025.0,824879.25,22456.0,61
Ajk,2024.0,10953805.35,73774.0,35
Ajk,2025.0,7824260.85,46245.74,81
"Allied Hospital, Faisalabad",2025.0,302856.0,600.0,3
Attock,2024.0,69013079.96,220664.0,184
Attock,2025.0,93361533.85,272074.0,191
BAHRIA PHARMACY,2024.0,454137.44,1836.0,4
BAHRIA PHARMACY,2025.0,122320.0,905.0,2
BARRETT HODGSON PAKISTAN (PVT) LTD,2024.0,0.0,25.0,1
BURHAN TRADERS,2024.0,0.0,66.0,4
BURHAN TRADERS,2025.0,0.0,382.0,6
Badin,2024.0,22333771.16,76617.0,151
Badin,2025.0,33363569.71,102848.0,152
Bahawalnagar,2024.0,66733531.31,209811.0,196
Bahawalnagar,2025.0,87407780.01,245517.0,190
Bahawalpur,2024.0,99730230.41,319537.0,208
Bahawalpur,2025.0,142478461.35,398232.0,203
Bannu,2024.0,141654896.15,419967.0,196
Bannu,2025.0,197489173.87,504492.0,200
Barakah Medical Center,2024.0,3250.0,1400.0,6
Burewala,2025.0,65939769.15,182090.0,203
CANCER CARE PHARMACY,2024.0,0.0,307.0,5
CANCER CARE PHARMACY,2025.0,0.0,129.0,5
CEO DHA ATTOCK,2025.0,0.0,0.0,3
CEO DHA BAHAWALNAGAR,2025.0,0.0,0.0,3
CEO DHA BAHAWALPUR,2025.0,0.0,0.0,3
CEO DHA BHAKKAR,2025.0,0.0,0.0,3
CEO DHA CHAKWAL,2025.0,0.0,0.0,3
CEO DHA CHINIOT,2025.0,0.0,0.0,2
CEO DHA D.G.KHAN,2025.0,43810.0,1480.0,3
CEO DHA FAISALABAD,2025.0,0.0,0.0,3
CEO DHA GUJRANWALA,2025.0,0.0,0.0,2
CEO DHA HAFIZABAD,2025.0,0.0,0.0,2
CEO DHA JHANG,2025.0,4118.14,47.0,3
CEO DHA JHELUM,2025.0,0.0,0.0,3
CEO DHA KASUR,2025.0,0.0,0.0,2
CEO DHA KHANEWAL,2025.0,0.0,0.0,1
CEO DHA KHUSHAB,2025.0,0.0,859.0,3
CEO DHA LAHORE,2025.0,0.0,0.0,3
CEO DHA LAYYAH,2025.0,0.0,0.0,3
CEO DHA LODHRAN,2025.0,43810.0,500.0,3
CEO DHA MANDI BAHAUDDIN,2025.0,0.0,0.0,3
CEO DHA MIANWALI,2025.0,0.0,0.0,2
CEO DHA MULTAN,2025.0,0.0,0.0,3
CEO DHA MUZAFFAR GARH,2025.0,0.0,0.0,3
CEO DHA NANKANA SAHIB,2025.0,0.0,960.0,3
CEO DHA NAROWAL,2025.0,38010.92,466.0,3
CEO DHA OKARA,2025.0,67029.3,765.0,3
CEO DHA PAKPATTAN,2025.0,0.0,0.0,3
CEO DHA RAJANPUR,2025.0,0.0,0.0,3
CEO DHA RAWALPINDI,2025.0,0.0,0.0,3
CEO DHA SAHIWAL,2025.0,0.0,0.0,3
CEO DHA SARGODHA,2025.0,0.0,0.0,2
CEO DHA SHEIKHUPURA,2025.0,14632.54,167.0,3
CEO DHA SIALKOT,2025.0,0.0,0.0,2
CEO DHA TOBA TEK SINGH,2025.0,0.0,0.0,3
CEO DISTRICT HEALTH AUTHORITY,2024.0,126658.56,589.0,1
CIC HOLDINGS PLC,2024.0,76972.33,26878.0,56
CIC HOLDINGS PLC,2025.0,85381.78,50998.0,63
CRITICARE PHARMACEUTICALS,2024.0,874452.0,3433.0,4
CRITICARE PHARMACEUTICALS,2025.0,239040.0,1150.0,4
CRITICARE PHARMACEUTICALS (PVT) LTD,2025.0,0.0,1303.0,2
CROWN PHARMACEUTICALS (PVT) LTD,2024.0,0.0,112.0,5
CROWN PHARMACEUTICALS (PVT) LTD,2025.0,0.0,114.0,4
CRYSTAL AGENCIES,2024.0,27926842.89,107502.0,129
CRYSTAL AGENCIES,2025.0,28505899.26,112963.36,150
Chakwal,2024.0,66486672.63,207171.0,193
Chakwal,2025.0,87851618.27,252511.0,195
Chemist & Druggist,2025.0,0.0,90.0,2
"Children Hospital, Faisalabad",2025.0,198047.24,745.0,3
"Cpmc, Medical Store",2024.0,4119866.1500000004,55136.0,4
"Cpmc, Medical Store",2025.0,3385483.6999999997,25912.0,6
D.G.Khan,2024.0,119935518.65,384756.0,205
D.G.Khan,2025.0,148922283.4,427642.0,204
D.I.Khan,2024.0,94709800.4,283396.0,183
D.I.Khan,2025.0,118268459.83,314628.0,179
DNS ENTERPRISES,2025.0,540869.0,3325.0,7
