Product,Y2022,Y2023,Y2024,Y2025
2974672-3 PROBE COVERS GT,0.0,4983.210000000001,0.0,0.0
91794 OMRON NEBKIT D,0.0,11095.05,0.0,0.0
ACOBMIN INJ. IV/IM CP (AFG) 1X10'S,0.0,364204.1,207830.28,915356.22
ACOBMIN TAB. CP 30'S (AFG) 1X30'S,0.0,324911.8,189288.96000000002,281778.75
ACTIFLOR SAC. 250MG CP (AFG) 1X10'S,0.0,0.0,591646.36,973612.28
ACTIFLOR SAC. 250MG CP (MMR) 1X10'S,0.0,1508.8000000000002,0.0,755.2
ACTIFLOR SAC. 250MG CP 1X10'S,25078123.57,49248962.410000004,58821831.13,57826128.440000005
ACTNISE CRM. 50GM CP 1X1'S,15732632.56,29649694.8,27499261.279999997,53708763.11
AD FOLIC OD TAB. 600MCG CP,350.9,0.0,0.0,0.0
AD FOLIC OD TAB. 600MCG CP (AFG) 3X10’S,0.0,0.0,-12341.62999999999,0.0
AD FOLIC OD TAB. 600MCG CP 3X10'S,62783702.17,118079080.12,182822023.43,237328403.14000002
AD FOLIC OD TAB. 600MCG PS 2'S,418200.0,0.0,0.0,0.0
AD FOLIC TAB. CP,0.0,198.42,0.0,0.0
AD FOLIC TAB. CP  (UZB) 3X10’S,0.0,0.0,6388.2,-4811.699999999999
AD FOLIC TAB. CP 30'S (AFG) 3X10’S,0.0,0.0,152822.02,110112.42
AD FOLIC TAB. CP 3X10'S,39234045.28,71950147.43,94578348.23,120543357.38000001
AD FOLIC TAB. PS 2'S,175907.5,0.0,0.0,0.0
AD-D CHEWABLE TAB. 10000IU CP (AFG) 8'S,0.0,0.0,461.27999999999884,81528.73999999999
AD-D CHEWABLE TAB. 10000IU CP 1X8'S,1323486.9,1558398.47,2389253.36,2867183.37
AD-D CHEWABLE TAB. 10000IU PS 1'S,108263.03,0.0,0.0,0.0
AD-D CHEWABLE TAB. 2000IU CP (AFG) 1X30’,0.0,0.0,957.25,118261.4
AD-D CHEWABLE TAB. 2000IU CP 1X30'S,2175113.2600000002,2818235.57,4500563.26,4996100.16
AD-D CHEWABLE TAB. 2000IU PS 1'S,244719.42,0.0,0.0,0.0
AGOVIZ TAB. 25MG CP 2X7'S,10457546.71,23065742.89,39059957.01,41443799.88
AIRCARE DPI DEVICE CP 1X1'S,0.0,10900949.16,5495529.02,0.0
AIRCARE PLUS DPI DEVICE CP (AFG) 1'S,0.0,0.0,0.0,65569.0
AIRCARE PLUS DPI DEVICE CP 1X1'S,0.0,0.0,10378181.94,18064198.75
AIREEZ SAC. 4MG CP (AFG) 1X14'S,0.0,0.0,482146.38,0.0
AIREEZ SAC. 4MG CP (CMB),0.0,646.38,0.0,2025.6
AIREEZ SAC. 4MG CP (VNM),38485.0,64170.17,3832.92,11715.66
AIREEZ SAC. 4MG CP 1X14'S,4226469.59,10207860.43,15595768.08,17177167.7
AIREEZ TAB. 10MG CP (AFG) 3X10'S,0.0,0.0,107097.20999999999,0.0
AIREEZ TAB. 10MG CP (CMB),0.0,993.0,0.0,0.0
AIREEZ TAB. 10MG CP (IQ) 30'S,0.0,0.0,22332.6,-11673.9
AIREEZ TAB. 10MG CP (KEN),0.0,0.0,0.0,6781.52
AIREEZ TAB. 10MG CP (MDV) 30'S,0.0,0.0,0.0,712.5
AIREEZ TAB. 10MG CP 3X10'S,7748615.67,41714287.28,79920826.93,154588151.67
AIREEZ TAB. 10MG CP INST. 10X100'S,0.0,250163.50000000003,0.0,0.0
AIREEZ TAB. 5MG CP (KEN),0.0,0.0,0.0,3814.56
AIREEZ TAB. 5MG CP 3X10'S,776716.5800000001,2372328.96,4515231.51,7916379.26
AIREEZ TAB.10MG CP PUNJAB GREEN 3X10'S,0.0,0.0,0.0,9911766.71
ANEX TAB. 550MG CP (GTM) 1X10'S,5420.1,0.0,0.0,0.0
ANEX TAB. 550MG CP (GTM) 1X2'S,1639.9600000000005,1390.2,1378.16,0.0
ANEX TAB. 550MG CP (GTM) 3X10'S,0.0,7070.48,23470.72,0.0
ANEX-M TAB. 85/500MG CP (AFG) 1X2'S,0.0,0.0,96986.75,978467.82
ANEX-M TAB. 85/500MG CP 1X2'S,458844.7,8205890.29,7555045.5,10441617.81
ANPLAG TAB. 60MG CP 2X7'S,2253505.51,7047217.35,11832197.69,17397573.89
ANPLAG TAB. 90MG 100X10'S RIC INST.GREEN,0.0,-2794750.0,-6534654.0,0.0
ANPLAG TAB. 90MG CP (GTM) 2'S,0.0,4430.25,545.25,0.0
ANPLAG TAB. 90MG CP (GTM) 30'S,0.0,15448.8,15440.95,0.0
ANPLAG TAB. 90MG CP (IQ) 30'S,28993.980000000003,0.0,53613.0,0.0
ANPLAG TAB. 90MG CP (SLK) 3X10'S,0.0,49333.28,0.0,14543.36
ANPLAG TAB. 90MG CP 2X10'S,46387044.39,115178767.83,181005677.63,324323024.17
APREP CAP. 125MG CP 1'S,-639360.0,0.0,663986.0,0.0
APREP CAP. 80MG CP 1X2'S,-425590.0,576387.0,-443058.0,0.0
APREP CAP. 80MG/125MG CP COMBO PACK,0.0,0.0,0.0,789300.0
ARBI TAB. 150MG CP (CMB),0.0,0.0,0.0,1989.73
ARBI TAB. 150MG CP (GTM) 1X2'S,0.0,0.0,474.31999999999994,1536.48
ARBI TAB. 150MG CP (GTM) 3X10'S,0.0,0.0,10754.88,4936.8
ARBI TAB. 150MG CP (IQ) 30'S,0.0,8202.5,3586.44,0.0
ARBI TAB. 150MG CP (SLK) 1X10'S,12909.869999999999,38750.11,24654.35,29356.5
ARBI TAB. 150MG CP 1X10'S,12502099.54,22620503.509999998,26573559.68,27475705.080000002
ARBI TAB. 150MG CP SPC (SLK) 1X10'S,0.0,0.0,35076.46000000001,8437.07
ARBI TAB. 150MG PS (SLK) 4'S,0.0,0.0,0.0,0.0
ARBI TAB. 300MG CP (CMB),0.0,884.6800000000001,0.0,2795.02
ARBI TAB. 300MG CP (GTM) 1X2'S,2752.86,3553.77,-1243.11,7061.01
ARBI TAB. 300MG CP (GTM) 3X10'S,11294.91,14258.970000000001,17760.600000000002,11149.810000000001
ARBI TAB. 300MG CP (IQ) 30'S,6072.5,6067.5,5212.389999999999,0.0
ARBI TAB. 300MG CP (SLK),14568.46,5811.3099999999995,25418.97,27665.15
ARBI TAB. 300MG CP 1X10'S,7877215.010000001,14596920.71,16067536.54,16647781.08
ARBI TAB. 300MG PS (SLK) 4'S,0.0,0.0,0.0,0.0
ARBI-A TAB. 100/10MG CP 1X10'S,0.0,0.0,4502763.78,3701752.52
ARBI-A TAB. 100/5MG CP 1X10'S,0.0,0.0,6078888.13,8816860.96
ARBI-D TAB. 150/12.5MG CP (IQ) 30'S,0.0,0.0,12759.960000000001,0.0
ARBI-D TAB. 150/12.5MG CP 1X10'S,19152224.25,40526004.82,44182871.63,49115771.24
ARBI-D TAB. 150MG/12.5MG CP (GTM) 1X2'S,1943.26,2398.44,1855.2600000000002,4698.1
