SDP Name,City,Yr,Revenue,Products,Invoices
A Q TRADERS - RAWALPINDI,Rawalpindi,2025.0,0.0,7,16
A.A. TRADERS,A.A. TRADERS,2025.0,315327.67,31,31
A.K. ENTERPRISES - KARACHI,Karachi,2024.0,104476.79999999999,20,141
A.K. ENTERPRISES - KARACHI,Karachi,2025.0,0.0,15,238
A.K. ENTERPRISES - MULTAN,Multan,2024.0,0.0,8,31
A.K. ENTERPRISES - MULTAN,Multan,2025.0,0.0,5,22
ACCESS POINT INT'L TRADING INC.,ACCESS POINT INT'L TRADING INC.,2024.0,0.0,6,21
ACCESS POINT INT'L TRADING INC.,ACCESS POINT INT'L TRADING INC.,2025.0,0.0,11,24
AGA KHAN HEALTH SERVICES PAKISTAN,AGA KHAN HEALTH SERVICES PAKISTAN,2025.0,0.0,1,1
AGA KHAN HOSPITAL & MEDICAL COLLEGE,AGA KHAN HOSPITAL & MEDICAL COLLEGE,2024.0,0.0,4,40
AGA KHAN HOSPITAL & MEDICAL COLLEGE,AGA KHAN HOSPITAL & MEDICAL COLLEGE,2025.0,0.0,4,37
AGLOW HEALTHCARE (PVT.) LTD.,AGLOW HEALTHCARE (PVT.) LTD.,2024.0,801998.77,14,31
AGLOW HEALTHCARE (PVT.) LTD.,AGLOW HEALTHCARE (PVT.) LTD.,2025.0,1288257.16,19,51
AHMAD ENTERPRISES,AHMAD ENTERPRISES,2024.0,58048157.34,162,1796
AHMAD ENTERPRISES,AHMAD ENTERPRISES,2025.0,25702114.08,147,782
AHMAD SAEED MEDICINE DISTRIBUTORS,AHMAD SAEED MEDICINE DISTRIBUTORS,2025.0,42481802.47,165,1158
AHMED BIN QASIM,AHMED BIN QASIM,2024.0,4150390.09,24,100
AHMED BIN QASIM,AHMED BIN QASIM,2025.0,3064643.08,21,69
AIM DISTRIBUTOR FAISALABAD,AIM DISTRIBUTOR FAISALABAD,2024.0,0.0,5,59
AIM DISTRIBUTOR FAISALABAD,AIM DISTRIBUTOR FAISALABAD,2025.0,0.0,6,115
AL KHIDMAT PHARMACY SERVICES,AL KHIDMAT PHARMACY SERVICES,2024.0,4324067.25,26,153
AL KHIDMAT PHARMACY SERVICES,AL KHIDMAT PHARMACY SERVICES,2025.0,5677153.15,28,278
AL MUSTAFA ENTERPRISES,AL MUSTAFA ENTERPRISES,2024.0,0.0,1,3
AL RABIE SCIENTIFIC BUREAU,AL RABIE SCIENTIFIC BUREAU,2024.0,2109.9,32,156
AL RABIE SCIENTIFIC BUREAU,AL RABIE SCIENTIFIC BUREAU,2025.0,1245.6,17,93
AL-ABBAS DISTRIBUTORS,Abbas Distributors,2024.0,27779723.6,113,894
AL-ABBAS DISTRIBUTORS,Abbas Distributors,2025.0,34825020.93,108,905
AL-BARAKAH MEDICAL CENTER,Barakah Medical Center,2024.0,3250.0,6,6
AL-FATEH MEDICINE COMPANY,Fateh Medicine Company,2024.0,93214538.0,200,2579
AL-FATEH MEDICINE COMPANY,Fateh Medicine Company,2025.0,47595147.24,179,1196
AL-HAMD DISTRIBUTORS,Hamd Distributors,2024.0,0.0,5,50
AL-HAMD DISTRIBUTORS,Hamd Distributors,2025.0,0.0,5,32
AL-KHAIR PHARMA - LAHORE,Lahore,2024.0,0.0,1,5
AL-KHAIR PHARMA - LAHORE,Lahore,2025.0,0.0,1,6
AL-RAZZAK ENTERPRISES - KARACHI,Karachi,2024.0,231331.4,18,120
AL-RAZZAK ENTERPRISES - KARACHI,Karachi,2025.0,46678.0,16,195
ALI HAJVERY PHARMA,ALI HAJVERY PHARMA,2024.0,91923918.25,180,2411
ALI HAJVERY PHARMA,ALI HAJVERY PHARMA,2025.0,98216303.78,175,2421
ALKHIDMAT HEALTH FOUNDATION,ALKHIDMAT HEALTH FOUNDATION,2024.0,100512.5,4,10
ALLONS ENTERPRISES,ALLONS ENTERPRISES,2025.0,315684.57,20,44
AMETHYST GLOBAL (THAILAND) CO.LTD,AMETHYST GLOBAL (THAILAND) CO.LTD,2024.0,63612.0,2,11
AMETHYST GLOBAL (THAILAND) CO.LTD,AMETHYST GLOBAL (THAILAND) CO.LTD,2025.0,11936.0,2,12
ASIAN CONTINENTAL (PVT) LIMITED,ASIAN CONTINENTAL (PVT) LIMITED,2024.0,0.0,13,151
ASIAN CONTINENTAL (PVT) LIMITED,ASIAN CONTINENTAL (PVT) LIMITED,2025.0,0.0,13,155
ASSENE-LABOREX LTD,Laborex Ltd,2024.0,386.04999999999995,4,37
ASSENE-LABOREX LTD,Laborex Ltd,2025.0,0.0,5,28
ASTELA HEALTH CARE (PVT.) LTD.,ASTELA HEALTH CARE (PVT.) LTD.,2024.0,0.0,5,29
ASTELA HEALTH CARE (PVT.) LTD.,ASTELA HEALTH CARE (PVT.) LTD.,2025.0,0.0,5,21
ATIF DISTRIBUTOR,ATIF DISTRIBUTOR,2024.0,106862054.38,199,2812
ATIF DISTRIBUTOR,ATIF DISTRIBUTOR,2025.0,132781982.39,196,3071
AVARI TOWERS,AVARI TOWERS,2025.0,0.0,1,1
AZEEM ENTERPRISES,AZEEM ENTERPRISES,2024.0,267101.09,12,12
AZEEM ENTERPRISES,AZEEM ENTERPRISES,2025.0,796302.55,19,28
Additional Director (MS&DC) DGHS,Additional Director (MS&DC) DGHS,2024.0,0.0,1,5
Additional Director (MS&DC) DGHS,Additional Director (MS&DC) DGHS,2025.0,35797.08,5,15
"Allied Hospital, Faisalabad","Allied Hospital, Faisalabad",2025.0,302856.0,3,3
BAHRIA PHARMACY,BAHRIA PHARMACY,2024.0,454137.44,4,7
BAHRIA PHARMACY,BAHRIA PHARMACY,2025.0,122320.0,2,3
BARRETT HODGSON PAKISTAN (PVT) LTD,BARRETT HODGSON PAKISTAN (PVT) LTD,2024.0,0.0,1,1
BIOMAX PHARMA - LAHORE,Lahore,2024.0,0.0,16,161
BIOMAX PHARMA - LAHORE,Lahore,2025.0,0.0,13,151
BURHAN TRADERS,BURHAN TRADERS,2024.0,0.0,4,11
BURHAN TRADERS,BURHAN TRADERS,2025.0,0.0,6,68
CANCER CARE PHARMACY,CANCER CARE PHARMACY,2024.0,0.0,5,61
CANCER CARE PHARMACY,CANCER CARE PHARMACY,2025.0,0.0,5,29
CEO DHA ATTOCK,CEO DHA ATTOCK,2025.0,0.0,3,3
CEO DHA BAHAWALNAGAR,CEO DHA BAHAWALNAGAR,2025.0,0.0,3,4
CEO DHA BAHAWALPUR,CEO DHA BAHAWALPUR,2025.0,0.0,3,3
CEO DHA BHAKKAR,CEO DHA BHAKKAR,2025.0,0.0,3,3
CEO DHA CHAKWAL,CEO DHA CHAKWAL,2025.0,0.0,3,3
CEO DHA CHINIOT,CEO DHA CHINIOT,2025.0,0.0,2,2
CEO DHA D.G.KHAN,CEO DHA D.G.KHAN,2025.0,43810.0,3,5
CEO DHA FAISALABAD,CEO DHA FAISALABAD,2025.0,0.0,3,5
CEO DHA GUJRANWALA,CEO DHA GUJRANWALA,2025.0,0.0,2,3
CEO DHA HAFIZABAD,CEO DHA HAFIZABAD,2025.0,0.0,2,2
CEO DHA JHANG,CEO DHA JHANG,2025.0,4118.14,3,4
CEO DHA JHELUM,CEO DHA JHELUM,2025.0,0.0,3,3
CEO DHA KASUR,CEO DHA KASUR,2025.0,0.0,2,2
CEO DHA KHANEWAL,CEO DHA KHANEWAL,2025.0,0.0,1,1
CEO DHA KHUSHAB,CEO DHA KHUSHAB,2025.0,0.0,3,6
CEO DHA LAHORE,CEO DHA LAHORE,2025.0,0.0,3,5
CEO DHA LAYYAH,CEO DHA LAYYAH,2025.0,0.0,3,5
CEO DHA LODHRAN,CEO DHA LODHRAN,2025.0,43810.0,3,4
CEO DHA MANDI BAHAUDDIN,CEO DHA MANDI BAHAUDDIN,2025.0,0.0,3,5
CEO DHA MIANWALI,CEO DHA MIANWALI,2025.0,0.0,2,2
CEO DHA MULTAN,CEO DHA MULTAN,2025.0,0.0,3,3
CEO DHA MUZAFFAR GARH,CEO DHA MUZAFFAR GARH,2025.0,0.0,3,4
CEO DHA NANKANA SAHIB,CEO DHA NANKANA SAHIB,2025.0,0.0,3,5
CEO DHA NAROWAL,CEO DHA NAROWAL,2025.0,38010.92,3,5
CEO DHA OKARA,CEO DHA OKARA,2025.0,67029.3,3,4
CEO DHA PAKPATTAN,CEO DHA PAKPATTAN,2025.0,0.0,3,3
CEO DHA RAJANPUR,CEO DHA RAJANPUR,2025.0,0.0,3,3
CEO DHA RAWALPINDI,CEO DHA RAWALPINDI,2025.0,0.0,3,5
CEO DHA SAHIWAL,CEO DHA SAHIWAL,2025.0,0.0,3,3
CEO DHA SARGODHA,CEO DHA SARGODHA,2025.0,0.0,2,2
CEO DHA SHEIKHUPURA,CEO DHA SHEIKHUPURA,2025.0,14632.54,3,6
CEO DHA SIALKOT,CEO DHA SIALKOT,2025.0,0.0,2,2
CEO DHA TOBA TEK SINGH,CEO DHA TOBA TEK SINGH,2025.0,0.0,3,4
CEO DISTRICT HEALTH AUTHORITY,CEO DISTRICT HEALTH AUTHORITY,2024.0,126658.56,1,1
CHAUDHARY MEDICINE CENTER-TT SINGH,Tt Singh,2025.0,0.0,4,4
CHIEF DISTRIBUTOR'S - ISLAMABAD,Islamabad,2024.0,0.0,3,18
CHIEF DISTRIBUTOR'S - ISLAMABAD,Islamabad,2025.0,0.0,3,26
CIC HOLDINGS PLC,CIC HOLDINGS PLC,2024.0,76972.33,56,241
CIC HOLDINGS PLC,CIC HOLDINGS PLC,2025.0,85381.78,63,421
CRITICARE PHARMACEUTICALS,CRITICARE PHARMACEUTICALS,2024.0,874452.0,4,25
CRITICARE PHARMACEUTICALS,CRITICARE PHARMACEUTICALS,2025.0,239040.0,4,11
